Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
PHP Standards,"PHP 8 Objects, Patterns, and Practice: Volume 2",,,,10.1007/979-8-8688-0779-4_3,Matt Zandstra,2025,https://link.springer.com/chapter/10.1007/979-8-8688-0779-4_3,Chapter
PHP and MySQL Working Together,PHP 8 Basics,,,,10.1007/978-1-4842-8082-9_10,Gunnard EngebrethSatej Kumar Sahu,2023,https://link.springer.com/chapter/10.1007/978-1-4842-8082-9_10,Chapter
What Is PHP 8?,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_1,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_1,Chapter
PHP: A Quick Reference,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_4,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_4,Chapter
Getting Ready to Work with PHP,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_2,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_2,Chapter
Understanding PHP: Language Basics,PHP 8 for Absolute Beginners,,,,10.1007/978-1-4842-8205-2_2,Jason LengstorfThomas Blom HansenSteve Prettyman,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8205-2_2,Chapter
Using PHP to Manage Files,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_7,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_7,Chapter
Building SSA in a Compiler for PHP,SSA-based Compiler Design,,,,10.1007/978-3-030-80515-9_24,Paul BiggarDavid Gregg,2022,https://link.springer.com/chapter/10.1007/978-3-030-80515-9_24,Chapter
Connecting to a Database with PHP and SQL,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_13,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_13,Chapter
Building a LAMP Stack: Apache and PHP,Practical Linux DevOps,,,,10.1007/978-1-4842-8318-9_5,John S. Tonello,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8318-9_5,Chapter
File Handling,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_7,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_7,Chapter
Family Involvement in DBT for Adolescents Within a Partial Hospitalization Program Setting,Enhancing CBT Through Family and Peer Engagement,,,,10.1007/978-3-031-74838-7_11,Abigail M. StarkEsther S. TungKristen L. BatejanPeg Worden,2024,https://link.springer.com/chapter/10.1007/978-3-031-74838-7_11,Chapter
Object Basics,"PHP 8 Objects, Patterns, and Practice: Volume 1",,,,10.1007/979-8-8688-0482-3_3,Matt Zandstra,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0482-3_3,Chapter
Effect of Surface Tension on the Thermal Performance of Pulsating Heat Pipe with and Without Surfactant,"Fluid Mechanics and Fluid Power, Volume 5",,,,10.1007/978-981-99-6074-3_19,Vaishnavi K. WasankarPramod R. Pachghare,2024,https://link.springer.com/chapter/10.1007/978-981-99-6074-3_19,Conference paper
Fast Food Review Online,"Software Engineering Research and Practice and e-Learning, e-Business, Enterprise Information Systems, and e-Government",,,,10.1007/978-3-031-86644-9_20,John TaylorZizhong John Wang,2025,https://link.springer.com/chapter/10.1007/978-3-031-86644-9_20,Conference paper
PHP Standards,"PHP 8 Objects, Patterns, and Practice",,,,10.1007/978-1-4842-6791-2_15,Matt Zandstra,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6791-2_15,Chapter
Working with a Database,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_5,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_5,Chapter
"Comparison of Software, Programming Language and Framework for System Development in Institute of Higher Learning",Software Engineering Methods Design and Application,,,,10.1007/978-3-031-70285-3_2,Muhammad Fairuz Abd RaufMohd Fahmi Mohamad AmranWan Azlan Wan HassanZuraidy AdnanAzilayati OsmanRita Wong,2024,https://link.springer.com/chapter/10.1007/978-3-031-70285-3_2,Conference paper
Email and Form Processing,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_3,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_3,Chapter
Pseudohypoparathyroidism,Pediatric Endocrinology,,,,10.1007/978-3-031-66296-6_22,Emily L. Germain-LeeMichael A. Levine,2024,https://link.springer.com/chapter/10.1007/978-3-031-66296-6_22,Chapter
"Installing Laravel, Development, and Test Tools Installation",API Development with Laravel,,,,10.1007/979-8-8688-1576-8_2,Adegoke Akintoye,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1576-8_2,Chapter
Numerical Study of a Single-Loop Nitrogen Pulsating Heat Pipe,Proceedings of the 28th International Cryogenic Engineering Conference and International Cryogenic Materials Conference 2022,,,,10.1007/978-981-99-6128-3_64,Bingkun LyuDong XuWei WangYaran ShiChuanjun HuangRongjin HuangLaifeng Li,2023,https://link.springer.com/chapter/10.1007/978-981-99-6128-3_64,Conference paper
Getting Started,PHP 8 Basics,,,,10.1007/978-1-4842-8082-9_1,Gunnard EngebrethSatej Kumar Sahu,2023,https://link.springer.com/chapter/10.1007/978-1-4842-8082-9_1,Chapter
Data and Data Types,PHP 8 Basics,,,,10.1007/978-1-4842-8082-9_4,Gunnard EngebrethSatej Kumar Sahu,2023,https://link.springer.com/chapter/10.1007/978-1-4842-8082-9_4,Chapter
Noise Prediction: A&#xa0;Case Study&#xa0;of Gjilan City,Intelligent System and Data Analysis,,,,10.1007/978-981-97-5200-3_11,Buen BajramiKostandina Veljanovska,2025,https://link.springer.com/chapter/10.1007/978-981-97-5200-3_11,Conference paper
"A Linear Programming Problem in&#xa0;Python and&#xa0;CPLEX, led by&#xa0;Monte Carlo on&#xa0;the&#xa0;Web",Soft Computing and Its Engineering Applications,,,,10.1007/978-3-031-88042-1_19,Miguel CasquilhoPedro PachecoRui GalhanoJorge Buescu,2025,https://link.springer.com/chapter/10.1007/978-3-031-88042-1_19,Conference paper
Efficacy of Pulsating Heat Pipe for Laptop Cooling Applications: An Experimental Investigation,Recent Advances in Thermofluids and Manufacturing Engineering,,,,10.1007/978-981-19-4388-1_19,R. K. SarangiM. V. RaneS. P. KarA. SwainP. C. Sekhar,2023,https://link.springer.com/chapter/10.1007/978-981-19-4388-1_19,Conference paper
Treating Subacute Populations on the Psychiatric Care Continuum: Nationwide Children’s Hospital Child and Adolescent Partial Hospitalization Program,Handbook of Evidence-Based Inpatient Mental Health Programs for Children and Adolescents,,,,10.1007/978-3-031-62749-1_25,Joyce T. ChenMoneika A. DiPierro-SuttonCallie Cullinan-LudwigDeborah Stinson,2024,https://link.springer.com/chapter/10.1007/978-3-031-62749-1_25,Chapter
Introduction to Laravel,PHP 8 Basics,,,,10.1007/978-1-4842-8082-9_14,Gunnard EngebrethSatej Kumar Sahu,2023,https://link.springer.com/chapter/10.1007/978-1-4842-8082-9_14,Chapter
Insights from a Nonlinear and Corresponding Linear Model of a Pulsating Heat Pipe,"Fluid Mechanics and Fluid Power, Volume 1",,,,10.1007/978-981-99-7827-4_21,Alok KumarGovind MauryaNadeem AhmedSuneet Singh,2024,https://link.springer.com/chapter/10.1007/978-981-99-7827-4_21,Conference paper
Development of IoT Based Controlled Bench Power Generation System,Information Systems for Intelligent Systems,,,,10.1007/978-981-99-8612-5_49,Imhade P. OkokpujieKien-Olali A. KinggsAdedotun AdetunlaKennedy OkokpujieMorayo E. Awomoyi,2024,https://link.springer.com/chapter/10.1007/978-981-99-8612-5_49,Conference paper
Analysis of Slurry Ratio of Rotary Digging Pile in Deep Sand Layer,Proceedings of the 2nd International Conference on Innovative Solutions in Hydropower Engineering and Civil Engineering,,,,10.1007/978-981-99-1748-8_11,Wanjun ZangJiang Wen,2023,https://link.springer.com/chapter/10.1007/978-981-99-1748-8_11,Conference paper
Low-Cost System for Monitoring Water Quality Parameters in Lentic and Lotic Ecosystems,Good Practices and New Perspectives in Information Systems and Technologies,,,,10.1007/978-3-031-60227-6_7,Soila BenguelaFilipe CaetanoClara Silveira,2024,https://link.springer.com/chapter/10.1007/978-3-031-60227-6_7,Conference paper
Three Languages Simulate Polygons and&#xa0;Perform on&#xa0;the&#xa0;Web,Soft Computing and Its Engineering Applications,,,,10.1007/978-3-031-53728-8_18,Miguel CasquilhoPedro Pacheco,2024,https://link.springer.com/chapter/10.1007/978-3-031-53728-8_18,Conference paper
Rules-Based Query Conversion for Cypher Query Language (Case Study: Cultural Heritage of Myanmar),Intelligent Sustainable Systems,,,,10.1007/978-981-97-9559-8_31,Nang Nandar TunNyo Nyo Yee,2025,https://link.springer.com/chapter/10.1007/978-981-97-9559-8_31,Conference paper
Sessions and Cookies,PHP 8 Basics,,,,10.1007/978-1-4842-8082-9_7,Gunnard EngebrethSatej Kumar Sahu,2023,https://link.springer.com/chapter/10.1007/978-1-4842-8082-9_7,Chapter
Continuous Integration,"PHP 8 Objects, Patterns, and Practice: Volume 2",,,,10.1007/979-8-8688-0779-4_12,Matt Zandstra,2025,https://link.springer.com/chapter/10.1007/979-8-8688-0779-4_12,Chapter
Customer Relationships Management (CRM) Application for Customer Segmentation via RFM Analysis and K-Means Clustering,The Smart IoT Blueprint: Engineering a Connected Future,,,,10.1007/978-3-031-63103-0_2,Fadi Al-TurjmanArda Karaderi,2024,https://link.springer.com/chapter/10.1007/978-3-031-63103-0_2,Conference paper
Numerical Analysis on the Performance of Nitrogen Pulsating Heat Pipe,Recent Advances in Materials,,,,10.1007/978-981-99-3844-5_34,K. SatyanarayanaN. V. S. M. ReddyP. RosangS. Venugopal,2023,https://link.springer.com/chapter/10.1007/978-981-99-3844-5_34,Conference paper
Code Auditing,Handbook for CTFers,,,,10.1007/978-981-19-0336-6_10,,2022,https://link.springer.com/chapter/10.1007/978-981-19-0336-6_10,Chapter
Pages That Remember: Simple Login and Multipage Forms,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_11,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_11,Chapter
