Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
PHP Practice,"PHP 8 Objects, Patterns, and Practice: Volume 2",,,,10.1007/979-8-8688-0779-4_13,Matt Zandstra,2025,https://link.springer.com/chapter/10.1007/979-8-8688-0779-4_13,Chapter
An Unified PaaS Platform to&#xa0;Support Web Development with&#xa0;PHP,Software Engineering: Emerging Trends and Practices in System Development,,,,10.1007/978-3-032-00236-5_10,Van Long Nguyen HuuDuy-An Ha,2026,https://link.springer.com/chapter/10.1007/978-3-032-00236-5_10,Conference paper
Using Semgrep OSS to&#xa0;Find OWASP Top 10 Weaknesses in&#xa0;PHP Applications: A Case Study,"Detection of Intrusions and Malware, and Vulnerability Assessment",,,,10.1007/978-3-031-64171-8_4,Lukas KreeRené HelmkeEugen Winter,2024,https://link.springer.com/chapter/10.1007/978-3-031-64171-8_4,Conference paper
"Installing Laravel, Development, and Test Tools Installation",API Development with Laravel,,,,10.1007/979-8-8688-1576-8_2,Adegoke Akintoye,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1576-8_2,Chapter
Family Involvement in DBT for Adolescents Within a Partial Hospitalization Program Setting,Enhancing CBT Through Family and Peer Engagement,,,,10.1007/978-3-031-74838-7_11,Abigail M. StarkEsther S. TungKristen L. BatejanPeg Worden,2024,https://link.springer.com/chapter/10.1007/978-3-031-74838-7_11,Chapter
Self-hosted Open-Source Dependency Management Solutions,Proceedings of Ninth International Congress on Information and Communication Technology,,,,10.1007/978-981-97-3302-6_12,Tom EngelmannAndrey KharitonovAbdulrahman NahhasDaniel Gunnar StaegemannChristian HaertelChristian DaaseKlaus Turowski,2024,https://link.springer.com/chapter/10.1007/978-981-97-3302-6_12,Conference paper
Automating Build and Deployment with Ansible,"PHP 8 Objects, Patterns, and Practice: Volume 2",,,,10.1007/979-8-8688-0779-4_10,Matt Zandstra,2025,https://link.springer.com/chapter/10.1007/979-8-8688-0779-4_10,Chapter
Enterprise Patterns,"PHP 8 Objects, Patterns, and Practice: Volume 1",,,,10.1007/979-8-8688-0482-3_12,Matt Zandstra,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0482-3_12,Chapter
PHP Using and Creating Components with Composer,"PHP 8 Objects, Patterns, and Practice",,,,10.1007/978-1-4842-6791-2_16,Matt Zandstra,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6791-2_16,Chapter
Continuous Integration,"PHP 8 Objects, Patterns, and Practice: Volume 2",,,,10.1007/979-8-8688-0779-4_12,Matt Zandstra,2025,https://link.springer.com/chapter/10.1007/979-8-8688-0779-4_12,Chapter
Towards the&#xa0;Identification of&#xa0;Vulnerability-Fixing Code Lines in&#xa0;OSS Security Patches Using Lexical Code Segmentation and&#xa0;LLMs,Data and Applications Security and Privacy XXXIX,,,,10.1007/978-3-031-96590-6_5,Reika Nishimura ArakawaYo KanemotoMitsuaki Akiyama,2025,https://link.springer.com/chapter/10.1007/978-3-031-96590-6_5,Conference paper
Implementing Webhook and Asynchronous Notifications,API Development with Laravel,,,,10.1007/979-8-8688-1576-8_8,Adegoke Akintoye,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1576-8_8,Chapter
Using and Creating Components with Composer,"PHP 8 Objects, Patterns, and Practice: Volume 2",,,,10.1007/979-8-8688-0779-4_5,Matt Zandstra,2025,https://link.springer.com/chapter/10.1007/979-8-8688-0779-4_5,Chapter
An Empirical Study of&#xa0;Multi-language Security Patches in&#xa0;Open Source Software,"Detection of Intrusions and Malware, and Vulnerability Assessment",,,,10.1007/978-3-031-97623-0_8,Shiyu SunYunlong XingGrant ZouXinda WangKun Sun,2025,https://link.springer.com/chapter/10.1007/978-3-031-97623-0_8,Conference paper
Building RESTful APIs with ASP.NET Core (C#),Mastering REST APIs,,,,10.1007/979-8-8688-0309-3_6,Sivaraj Selvaraj,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0309-3_6,Chapter
Deploying and Scaling Your API Using CapRover,API Development with Laravel,,,,10.1007/979-8-8688-1576-8_9,Adegoke Akintoye,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1576-8_9,Chapter
Implementing Endpoints and Generating Documentation,API Development with Laravel,,,,10.1007/979-8-8688-1576-8_6,Adegoke Akintoye,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1576-8_6,Chapter
Implementing The Authentication System and Dashboard,API Development with Laravel,,,,10.1007/979-8-8688-1576-8_5,Adegoke Akintoye,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1576-8_5,Chapter
Short Paper: Systematic Bug Reproduction with&#xa0;Large Language Model,Computer Security. ESORICS 2024 International Workshops,,,,10.1007/978-3-031-82362-6_3,Sanghyun ParkHaeun LeeSang Kil Cha,2025,https://link.springer.com/chapter/10.1007/978-3-031-82362-6_3,Conference paper
Where Do Developers Admit their Security-Related Concerns?,Agile Processes in Software Engineering and Extreme Programming – Workshops,,,,10.1007/978-3-031-72781-8_21,Moritz MockThomas ForrerBarbara Russo,2025,https://link.springer.com/chapter/10.1007/978-3-031-72781-8_21,Conference paper
A Self-learning Ai-Based Information Leak Protection System,Advances in Artificial Intelligence and Machine Learning in Big Data Processing,,,,10.1007/978-3-031-73065-8_6,M. JaeyalakshmiP. Rohit GangadharM. SrivatsanM. Bhavani,2025,https://link.springer.com/chapter/10.1007/978-3-031-73065-8_6,Conference paper
Installing MariaDB and Creating a Simple Web Application,Practical Linux DevOps,,,,10.1007/978-1-4842-8318-9_6,John S. Tonello,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8318-9_6,Chapter
Inpatient Psychiatric Hospitalization,Handbook of Evidence-Based Day Treatment Programs for Children and Adolescents,,,,10.1007/978-3-031-14567-4_24,Alysha D. ThompsonKyrill GurtovenkoConnor GallikMcKenna ParnesKashi AroraRavi Ramasamy,2022,https://link.springer.com/chapter/10.1007/978-3-031-14567-4_24,Chapter
