Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Connecting to a Database with PHP and SQL,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_13,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_13,Chapter
Security Standards and Best Practices,Building Secure PHP Applications,,,,10.1007/979-8-8688-0932-3_5,Satej Kumar Sahu,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0932-3_5,Chapter
Development of IoT Based Controlled Bench Power Generation System,Information Systems for Intelligent Systems,,,,10.1007/978-981-99-8612-5_49,Imhade P. OkokpujieKien-Olali A. KinggsAdedotun AdetunlaKennedy OkokpujieMorayo E. Awomoyi,2024,https://link.springer.com/chapter/10.1007/978-981-99-8612-5_49,Conference paper
Research on Hazardous Waste Information Management System Based on Internet of Things GIS Technology,Proceedings of the Second International Conference on Artificial Intelligence and Communication Technologies (ICAICT 2024),,,,10.1007/978-981-96-0096-0_34,Hualong CaiJingyao LuoYiyan ZhuangZhijie Pan,2025,https://link.springer.com/chapter/10.1007/978-981-96-0096-0_34,Conference paper
A Framework for Users Log and Activities Monitoring the IoT Blueprint Era,Smart Infrastructures in the IoT Era,,,,10.1007/978-3-031-72509-8_97,Sarumi Usman AbidemiCliford Peter MlimwaOlusolade Aribake FadareOdunlami EriOluwaSinem AlturjmanFadi Al-Turjman,2025,https://link.springer.com/chapter/10.1007/978-3-031-72509-8_97,Chapter
Website with a DB,PHP 8 Basics,,,,10.1007/978-1-4842-8082-9_12,Gunnard EngebrethSatej Kumar Sahu,2023,https://link.springer.com/chapter/10.1007/978-1-4842-8082-9_12,Chapter
Exploiting Metadata for Intelligent and Secure JSON REST API Services,Proceedings of World Conference on Information Systems for Business Management,,,,10.1007/978-981-99-8346-9_12,John Yoon,2024,https://link.springer.com/chapter/10.1007/978-981-99-8346-9_12,Conference paper
Authenticating Users with a Database,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_19,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_19,Chapter
Managing Multiple Database Tables,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_18,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_18,Chapter
A Secured and Safe Cloud Storage Computing System Using a Distinctive Lightweight Data Identification and Sharing Algorithm,Computational Intelligence in Machine Learning,,,,10.1007/978-981-96-4391-2_36,Badam PrashanthVoruganti Naresh KumarG. Pavan KumarB. SiviahAbdul Subhani ShaikSiva Skandha Sanagala,2025,https://link.springer.com/chapter/10.1007/978-981-96-4391-2_36,Conference paper
Managing Content,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_15,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_15,Chapter
Introduction to the Web,Handbook for CTFers,,,,10.1007/978-981-19-0336-6_1,,2022,https://link.springer.com/chapter/10.1007/978-981-19-0336-6_1,Chapter
Creating a Dynamic Photo Gallery,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_14,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_14,Chapter
A Comparison of Algorithms for the Spatial Clustering of Technological Assets,Geomatics for Green and Digital Transition,,,,10.1007/978-3-031-91141-5_19,Magurno DavideLugli AndreaBologna FabioSeravalli AlessandroBattistini AlessandroSeraceni Matteo,2025,https://link.springer.com/chapter/10.1007/978-3-031-91141-5_19,Conference paper
Pulling Data from Multiple Tables,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_17,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_17,Chapter
Recent Techniques Supporting Vulnerabilities Management for Secure Online Apps,Advances in Cybersecurity Management,,,,10.1007/978-3-030-71381-2_12,Tun Myat AungNi Ni Hla,2021,https://link.springer.com/chapter/10.1007/978-3-030-71381-2_12,Chapter
A Model of Cloud-Based System for Monitoring Air Quality in Urban Traffic Environment,Future Access Enablers for Ubiquitous and Intelligent Infrastructures,,,,10.1007/978-3-031-72393-3_14,Zeljko StojanovVladimir BrtkaGordana JotanovicGoran JausevacDragan PerakovicDalibor Dobrilovic,2025,https://link.springer.com/chapter/10.1007/978-3-031-72393-3_14,Conference paper
Distributed Computing,Cloud Computing and MicroServices,,,,10.1007/978-3-031-93478-0_3,Jinmin Yang,2025,https://link.springer.com/chapter/10.1007/978-3-031-93478-0_3,Chapter
PHP,Cyber Operations,,,,10.1007/978-1-4842-4294-0_20,Mike O’Leary,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4294-0_20,Chapter
Methodology for Constructing a Knowledgebase for Plant Gene Regulation Information,Plant Gene Regulatory Networks,,,,10.1007/978-1-0716-3354-0_17,Hadi Nayebi GavganiErich GrotewoldJohn Gray,2023,https://link.springer.com/chapter/10.1007/978-1-0716-3354-0_17,Protocol
Formatting Text and Dates,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_16,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_16,Chapter
The Alexa Versus Alexa Attack,Hacking Voice-Controllable Devices,,,,10.1007/978-3-031-88145-9_5,Sergio EspositoDaniele SgandurraGiampaolo BellaDaniel O’Keeffe,2026,https://link.springer.com/chapter/10.1007/978-3-031-88145-9_5,Chapter
Fundamental Concepts of Modeling Computer Security in Cyberphysical Systems,Intelligent and Safe Computer Systems in Control and Diagnostics,,,,10.1007/978-3-031-16159-9_11,Janusz Zalewski,2023,https://link.springer.com/chapter/10.1007/978-3-031-16159-9_11,Conference paper
Connecting to a&#xa0;Database with PHP and SQL,PHP 7 Solutions,,,,10.1007/978-1-4842-4338-1_13,David Powers,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4338-1_13,Chapter
Check Certificate—A Certificate Verification Platform for Students and Organizations,"Smart Intelligent Computing and Applications, Volume 1",,,,10.1007/978-981-16-9669-5_22,M. D. N. AkashGolla Bharadwaj SaiMadhira Venkata Sai Yeshwanth ReddyM. A. Jabbar,2022,https://link.springer.com/chapter/10.1007/978-981-16-9669-5_22,Conference paper
FIFA: A Century of Crime and No Punishment,The Palgrave Handbook on the Economics of Manipulation in Sport,,,,10.1007/978-3-031-63581-6_15,Bruce W. Bean,2024,https://link.springer.com/chapter/10.1007/978-3-031-63581-6_15,Chapter
Mutation Testing and Web Applications—A Test Driven Development Approach for Web Applications Built with Java Script,A Fusion of Artificial Intelligence and Internet of Things for Emerging Cyber Systems,,,,10.1007/978-3-030-76653-5_13,S. Suguna MallikaD. Rajya Lakshmi,2022,https://link.springer.com/chapter/10.1007/978-3-030-76653-5_13,Chapter
Identification of Novel Noncoding RNAs in Plants by Big Data Analysis,Machine Learning and Systems Biology in Genomics and Health,,,,10.1007/978-981-16-5993-5_7,Mamun MandalNikita PoddarShailesh Kumar,2022,https://link.springer.com/chapter/10.1007/978-981-16-5993-5_7,Chapter
Slicing Based on Web Scrapped Concurrent Component,Intelligent System Design,,,,10.1007/978-981-15-5400-1_29,Niharika PujariAbhishek RayJagannath Singh,2021,https://link.springer.com/chapter/10.1007/978-981-15-5400-1_29,Conference paper
A Comparative Study of NoSQL and Relational Database,Advances in Intelligent Information Hiding and Multimedia Signal Processing,,,,10.1007/978-981-33-6757-9_16,S. UyangaN. MunkhtsetsegS. BatbayarSh Bat-Ulzii,2021,https://link.springer.com/chapter/10.1007/978-981-33-6757-9_16,Conference paper
Ansible Playbooks,Practical Ansible,,,,10.1007/978-1-4842-8643-2_2,Vincent Sesto,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8643-2_2,Chapter
Connecting and Querying Azure SQL,Practical Azure SQL Database for Modern Developers,,,,10.1007/978-1-4842-6370-9_3,Davide MauriSilvano CorianiAnna HoffmanSanjay MishraJovan Popovic,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6370-9_3,Chapter
A Multi Class Classification for Detection of IoT Botnet Malware,"Computing Science, Communication and Security",,,,10.1007/978-3-030-76776-1_2,Hrushikesh ChunduriT. Gireesh KumarP. V Sai Charan,2021,https://link.springer.com/chapter/10.1007/978-3-030-76776-1_2,Conference paper
Discovery of Real World Context Event Patterns for Smartphone Devices Using Conditional Random Fields,ITNG 2021 18th International Conference on Information Technology-New Generations,,,,10.1007/978-3-030-70416-2_29,Shraddha PipariaMd Khorrom KhanRenée Bryce,2021,https://link.springer.com/chapter/10.1007/978-3-030-70416-2_29,Conference paper
Post-ITER: DEMO and Fusion Power Plants,The Fairy Tale of Nuclear Fusion,,,,10.1007/978-3-030-64344-7_17,L. J. Reinders,2021,https://link.springer.com/chapter/10.1007/978-3-030-64344-7_17,Chapter
A Proposed Dynamic Hybrid-Based Load Balancing Algorithm to Improve Resources Utilization in SDN Environment,New Trends in Information and Communications Technology Applications,,,,10.1007/978-3-030-93417-0_10,Haeeder Munther NomanMahdi Nsaif Jasim,2021,https://link.springer.com/chapter/10.1007/978-3-030-93417-0_10,Conference paper
DevOps with Azure SQL,Practical Azure SQL Database for Modern Developers,,,,10.1007/978-1-4842-6370-9_11,Davide MauriSilvano CorianiAnna HoffmanSanjay MishraJovan Popovic,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6370-9_11,Chapter
Ansible Playbooks,Practical Ansible,,,,10.1007/978-1-4842-6485-0_2,Vincent Sesto,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6485-0_2,Chapter
MySQL and Arduino: United at Last!,"Beginning Sensor Networks with XBee, Raspberry Pi, and Arduino",,,,10.1007/978-1-4842-5796-8_9,Charles Bell,2020,https://link.springer.com/chapter/10.1007/978-1-4842-5796-8_9,Chapter
Jakarta Servlets,Java EE to Jakarta EE 10 Recipes,,,,10.1007/978-1-4842-8079-9_1,Josh JuneauTarun Telang,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8079-9_1,Chapter
Managing Multiple Database Tables,PHP 7 Solutions,,,,10.1007/978-1-4842-4338-1_18,David Powers,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4338-1_18,Chapter
Authenticating Users with a Database,PHP 7 Solutions,,,,10.1007/978-1-4842-4338-1_19,David Powers,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4338-1_19,Chapter
Managing Content,PHP 7 Solutions,,,,10.1007/978-1-4842-4338-1_15,David Powers,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4338-1_15,Chapter
Creating a Dynamic Photo Gallery,PHP 7 Solutions,,,,10.1007/978-1-4842-4338-1_14,David Powers,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4338-1_14,Chapter
Pulling Data from Multiple Tables,PHP 7 Solutions,,,,10.1007/978-1-4842-4338-1_17,David Powers,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4338-1_17,Chapter
Formatting Text and Dates,PHP 7 Solutions,,,,10.1007/978-1-4842-4338-1_16,David Powers,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4338-1_16,Chapter
MySQL Database System,Systems Programming in Unix/Linux,,,,10.1007/978-3-319-92429-8_14,K. C. Wang,2018,https://link.springer.com/chapter/10.1007/978-3-319-92429-8_14,Chapter
Secure Coding and Design,Oracle Database Application Security,,,,10.1007/978-1-4842-5367-0_6,Osama MustafaRobert P. Lockard,2019,https://link.springer.com/chapter/10.1007/978-1-4842-5367-0_6,Chapter
Web Back-End System,Practical Azure Functions,,,,10.1007/978-1-4842-5067-9_5,Agus KurniawanWely Lau,2019,https://link.springer.com/chapter/10.1007/978-1-4842-5067-9_5,Chapter
Servlets and JavaServer Pages,Jakarta EE Recipes,,,,10.1007/978-1-4842-5587-2_1,Josh Juneau,2020,https://link.springer.com/chapter/10.1007/978-1-4842-5587-2_1,Chapter
MySQL and MariaDB,Cyber Operations,,,,10.1007/978-1-4842-4294-0_18,Mike O’Leary,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4294-0_18,Chapter
Animals in Crisis,The Case for the Legal Protection of Animals,,,,10.1007/978-3-031-46065-4_2,Kimberly C. Moore,2023,https://link.springer.com/chapter/10.1007/978-3-031-46065-4_2,Chapter
JavaServer Pages,Java EE 8 Recipes,,,,10.1007/978-1-4842-3594-2_2,Josh Juneau,2018,https://link.springer.com/chapter/10.1007/978-1-4842-3594-2_2,Chapter
Connectivity,Practical Android,,,,10.1007/978-1-4842-3333-7_2,Mark Wickham,2018,https://link.springer.com/chapter/10.1007/978-1-4842-3333-7_2,Chapter
Uploading and Emailing,Practical Android,,,,10.1007/978-1-4842-3333-7_5,Mark Wickham,2018,https://link.springer.com/chapter/10.1007/978-1-4842-3333-7_5,Chapter
Push Messaging,Practical Android,,,,10.1007/978-1-4842-3333-7_6,Mark Wickham,2018,https://link.springer.com/chapter/10.1007/978-1-4842-3333-7_6,Chapter
Data Flow and Collection for Remote Patients Monitoring: From Wireless Sensors through a Relational Database to a Web interface in Real Time,EMBEC & NBC 2017,,,,10.1007/978-981-10-5122-7_23,Ivan TomasicNikola PetrovićHossein FotouhiMaria LindénMats Björkman,2018,https://link.springer.com/chapter/10.1007/978-981-10-5122-7_23,Conference paper
Abstract Code Injection,"Verification, Model Checking, and Abstract Interpretation",,,,10.1007/978-3-319-73721-8_6,Samuele BuroIsabella Mastroeni,2018,https://link.springer.com/chapter/10.1007/978-3-319-73721-8_6,Conference paper
A Honeypot Proxy Framework for Deceiving Attackers with Fabricated Content,Cyber Threat Intelligence,,,,10.1007/978-3-319-73951-9_12,Jarko PapalitsasSampsa RautiJani TammiVille Leppänen,2018,https://link.springer.com/chapter/10.1007/978-3-319-73951-9_12,Chapter
Controlling the Creations,Robot Rules,,,,10.1007/978-3-319-96235-1_8,Jacob Turner,2019,https://link.springer.com/chapter/10.1007/978-3-319-96235-1_8,Chapter
