Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
PHP Standards,"PHP 8 Objects, Patterns, and Practice: Volume 2",,,,10.1007/979-8-8688-0779-4_3,Matt Zandstra,2025,https://link.springer.com/chapter/10.1007/979-8-8688-0779-4_3,Chapter
PHP on the Command Line,"PHP 8 Objects, Patterns, and Practice: Volume 2",,,,10.1007/979-8-8688-0779-4_11,Matt Zandstra,2025,https://link.springer.com/chapter/10.1007/979-8-8688-0779-4_11,Chapter
Working with PHP,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_2,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_2,Chapter
Methods to&#xa0;Improve API Performance in&#xa0;PHP Programming Language,"Contributions Presented at The International Conference on Computing, Communication, Cybersecurity and AI, July 3–4, 2024, London, UK",,,,10.1007/978-3-031-74443-3_28,Eugene AlooeffDiana Dvoryak,2024,https://link.springer.com/chapter/10.1007/978-3-031-74443-3_28,Conference paper
LLMs in&#xa0;Web Development: Evaluating LLM-Generated PHP Code Unveiling Vulnerabilities and&#xa0;Limitations,"Computer Safety, Reliability, and Security. SAFECOMP 2024 Workshops",,,,10.1007/978-3-031-68738-9_34,Rebeka TóthTamas BisztrayLászló Erdődi,2024,https://link.springer.com/chapter/10.1007/978-3-031-68738-9_34,Conference paper
Using Semgrep OSS to&#xa0;Find OWASP Top 10 Weaknesses in&#xa0;PHP Applications: A Case Study,"Detection of Intrusions and Malware, and Vulnerability Assessment",,,,10.1007/978-3-031-64171-8_4,Lukas KreeRené HelmkeEugen Winter,2024,https://link.springer.com/chapter/10.1007/978-3-031-64171-8_4,Conference paper
How to Write PHP Scripts,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_3,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_3,Chapter
Connecting to a Database with PHP and SQL,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_13,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_13,Chapter
PHP,Tweak Your Mac Terminal,,,,10.1007/978-1-4842-6171-2_6,Daniel Platt,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6171-2_6,Chapter
MSDetector: A Static PHP Webshell Detection System Based on Deep-Learning,Theoretical Aspects of Software Engineering,,,,10.1007/978-3-031-10363-6_11,Baijun ChengYanhui GuoYan RenGang YangGuosheng Xu,2022,https://link.springer.com/chapter/10.1007/978-3-031-10363-6_11,Conference paper
Functions,PHP by Example,,,,10.1007/979-8-8688-0258-4_5,Alex Vasilev,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0258-4_5,Chapter
New IoT-Based Portable Microscopic Somatic Cell Count Analysis,Data Intelligence and Cognitive Informatics,,,,10.1007/978-981-19-6004-8_10,A. SivasangariD. DeepaR. M. GomathiP. AjithaS. Poonguzhali,2023,https://link.springer.com/chapter/10.1007/978-981-19-6004-8_10,Conference paper
Object Basics,"PHP 8 Objects, Patterns, and Practice: Volume 1",,,,10.1007/979-8-8688-0482-3_3,Matt Zandstra,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0482-3_3,Chapter
Classes and Objects,PHP by Example,,,,10.1007/979-8-8688-0258-4_7,Alex Vasilev,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0258-4_7,Chapter
Assessment Analysis in a Cloud Environment to Analyze the Behavior of Open-Source Cloud Software,Innovations in ICT: Sustainability for Societal and Industrial Impact,,,,10.1007/978-981-96-5220-4_27,Bathula MounikaG. MadhukarChandrugonda Malleshwar RaoR. Venkateswara Reddy,2025,https://link.springer.com/chapter/10.1007/978-981-96-5220-4_27,Conference paper
Arrays,PHP 8 Basics,,,,10.1007/978-1-4842-8082-9_6,Gunnard EngebrethSatej Kumar Sahu,2023,https://link.springer.com/chapter/10.1007/978-1-4842-8082-9_6,Chapter
Arrays,PHP by Example,,,,10.1007/979-8-8688-0258-4_4,Alex Vasilev,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0258-4_4,Chapter
PHP Standards,"PHP 8 Objects, Patterns, and Practice",,,,10.1007/978-1-4842-6791-2_15,Matt Zandstra,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6791-2_15,Chapter
Data and Data Types,PHP 8 Basics,,,,10.1007/978-1-4842-8082-9_4,Gunnard EngebrethSatej Kumar Sahu,2023,https://link.springer.com/chapter/10.1007/978-1-4842-8082-9_4,Chapter
Object Tools,"PHP 8 Objects, Patterns, and Practice: Volume 1",,,,10.1007/979-8-8688-0482-3_5,Matt Zandstra,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0482-3_5,Chapter
