Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
PHP Core Security,Building Secure PHP Applications,,,,10.1007/979-8-8688-0932-3_2,Satej Kumar Sahu,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0932-3_2,Chapter
PHP,Tweak Your Mac Terminal,,,,10.1007/978-1-4842-6171-2_6,Daniel Platt,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6171-2_6,Chapter
Working with a Database,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_5,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_5,Chapter
Object Basics,"PHP 8 Objects, Patterns, and Practice: Volume 1",,,,10.1007/979-8-8688-0482-3_3,Matt Zandstra,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0482-3_3,Chapter
Security Standards and Best Practices,Building Secure PHP Applications,,,,10.1007/979-8-8688-0932-3_5,Satej Kumar Sahu,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0932-3_5,Chapter
Efficacy of Pulsating Heat Pipe for Laptop Cooling Applications: An Experimental Investigation,Recent Advances in Thermofluids and Manufacturing Engineering,,,,10.1007/978-981-19-4388-1_19,R. K. SarangiM. V. RaneS. P. KarA. SwainP. C. Sekhar,2023,https://link.springer.com/chapter/10.1007/978-981-19-4388-1_19,Conference paper
Sessions and Cookies,PHP 8 Basics,,,,10.1007/978-1-4842-8082-9_7,Gunnard EngebrethSatej Kumar Sahu,2023,https://link.springer.com/chapter/10.1007/978-1-4842-8082-9_7,Chapter
Vagrant,"PHP 8 Objects, Patterns, and Practice: Volume 2",,,,10.1007/979-8-8688-0779-4_8,Matt Zandstra,2025,https://link.springer.com/chapter/10.1007/979-8-8688-0779-4_8,Chapter
"Databases, MVC, and Data Objects",PHP 8 for Absolute Beginners,,,,10.1007/978-1-4842-8205-2_6,Jason LengstorfThomas Blom HansenSteve Prettyman,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8205-2_6,Chapter
Performance Monitoring and Debugging,Building Real-Time Marvels with Laravel,,,,10.1007/978-1-4842-9789-6_12,Sivaraj Selvaraj,2024,https://link.springer.com/chapter/10.1007/978-1-4842-9789-6_12,Chapter
A Unified Image Repository for Cucurbits Diseases and Pests,Intelligent Systems in Computing and Communication,,,,10.1007/978-3-031-75605-4_2,Rithika AdapaRakshaN. HemalathaPrathamesh PaiK. M. SreekumarP. K. SajeeshSainamole Kurian,2025,https://link.springer.com/chapter/10.1007/978-3-031-75605-4_2,Conference paper
Solar Powered Low Cost Air Quality Monitoring System,"VLSI, Communication and Signal Processing",,,,10.1007/978-981-99-0973-5_38,Amit Kumar Singh ChauhanAnant Singh SuryavanshiAnoushka AwasthiShivani RaiShruti MishraArun Kumar Singh,2023,https://link.springer.com/chapter/10.1007/978-981-99-0973-5_38,Conference paper
A Configuration System,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_11,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_11,Chapter
Useful Tricks and Operations,PHP by Example,,,,10.1007/979-8-8688-0258-4_6,Alex Vasilev,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0258-4_6,Chapter
Intelligent Browser Window System for Visualizing Events Detected from Video in Distributed Fog Computing Environment,Computational Science and Its Applications – ICCSA 2025 Workshops,,,,10.1007/978-3-031-97648-3_21,Alexey SubbotinNataly ZhukovaElena Stankova,2026,https://link.springer.com/chapter/10.1007/978-3-031-97648-3_21,Conference paper
Advanced Features,"PHP 8 Objects, Patterns, and Practice: Volume 1",,,,10.1007/979-8-8688-0482-3_4,Matt Zandstra,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0482-3_4,Chapter
Classification of Swine Disease Using K-Nearest Neighbor Algorithm on Cloud-Based Framework,Artificial Intelligence for Cloud and Edge Computing,,,,10.1007/978-3-030-80821-1_4,Emmanuel Abidemi AdeniyiRoseline Oluwaseun OgundokunBabatunde GbadamosiSanjay MisraOlabisi Kalejaiye,2022,https://link.springer.com/chapter/10.1007/978-3-030-80821-1_4,Chapter
PHP,Cyber Operations,,,,10.1007/978-1-4842-4294-0_20,Mike O’Leary,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4294-0_20,Chapter
Analytics for Tour Package and Recommendation System,Python for Business Analytics,,,,10.1007/978-981-96-8291-1_17,Mahadi Hasan MirazNarishah Mohamed SallehHwang Ha Jin,2025,https://link.springer.com/chapter/10.1007/978-981-96-8291-1_17,Chapter
Preventing SQL Injection Attacks on Web Applications for Enhanced Security and CIA Triad Compliance,Advances in Information Communication Technology and Computing,,,,10.1007/978-981-97-6103-6_8,Sriramoju RahulU. KumaranThippaluru Tharun SaiTripuramallu PramodhSundaravadivazhagn Balasubramanian,2024,https://link.springer.com/chapter/10.1007/978-981-97-6103-6_8,Conference paper
Research on Hazardous Waste Information Management System Based on Internet of Things GIS Technology,Proceedings of the Second International Conference on Artificial Intelligence and Communication Technologies (ICAICT 2024),,,,10.1007/978-981-96-0096-0_34,Hualong CaiJingyao LuoYiyan ZhuangZhijie Pan,2025,https://link.springer.com/chapter/10.1007/978-981-96-0096-0_34,Conference paper
"Current Developments: Citizen Forums, Online Surveys, Local and Neighborhood Security Walks, and Cooperative Security Partnerships",Police and Citizen Participation,,,,10.1007/978-3-658-48122-3_4,Jan-Philipp Küppers,2025,https://link.springer.com/chapter/10.1007/978-3-658-48122-3_4,Chapter
"The Concerns of Developing Countries: I. Measure of Structural Violence, Nuclear Weapon Equivalents of Deaths in Developing Countries (1979)","Milton Leitenberg: Pioneering Work on Weapons of Mass Destruction, Wars and Arms Control",,,,10.1007/978-3-031-87982-1_15,Kathleen Margaret VogelNicole Janice BallMilton Leitenberg,2025,https://link.springer.com/chapter/10.1007/978-3-031-87982-1_15,Chapter
Miscellaneous Additions,PHP 8 Revealed,,,,10.1007/978-1-4842-6818-6_13,Gunnard Engebreth,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6818-6_13,Chapter
Object Basics,"PHP 8 Objects, Patterns, and Practice",,,,10.1007/978-1-4842-6791-2_3,Matt Zandstra,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6791-2_3,Chapter
Online-Repertorium Deutsche Antikenübersetzung 1501–1620/Online Repertory of German Translations of Classical Antiquity 1501–1620,Early Modern Translation and the Digital Humanities,,,,10.1007/978-3-662-70483-7_5,Bernd BastertFlorian FleischmannJohannes Klaus Kipf,2025,https://link.springer.com/chapter/10.1007/978-3-662-70483-7_5,Chapter
"Finding Data on the Web, Data Sets, Web Scraping, Web API",Big Data Infrastructure Technologies for Data Analytics,,,,10.1007/978-3-031-69366-3_11,Yuri DemchenkoJuan J. Cuadrado-GallegoOleg ChertovMarharyta Aleksandrova,2024,https://link.springer.com/chapter/10.1007/978-3-031-69366-3_11,Chapter
From Extantness to Temporal Differentiation,Meaning Takes Time to Unfold: Towards a Heideggerian Ontology of Temporal Differentiation,,,,10.1007/978-3-031-84249-8_2,Renxiang Liu,2025,https://link.springer.com/chapter/10.1007/978-3-031-84249-8_2,Chapter
"Style, as a Concept in Phenomenology",Encyclopedia of Phenomenology,,,,10.1007/978-3-030-47253-5_221-1,Rajiv Kaushik,2025,https://link.springer.com/rwe/10.1007/978-3-030-47253-5_221-1,Living reference work entry
Interior Design for Smart Home Application Using Augmented Reality,Computational Intelligence in Machine Learning,,,,10.1007/978-981-96-4391-2_6,N. Naveen KumarV. MukeshK. Deepak ReddyK. V. Vineetha,2025,https://link.springer.com/chapter/10.1007/978-981-96-4391-2_6,Conference paper
Exception Handling,PHP 8 Quick Scripting Reference,,,,10.1007/978-1-4842-6619-9_30,Mikael Olsson,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6619-9_30,Chapter
Server-Side Programming with PHP,Web-Based Projects that Rock the Class,,,,10.1007/978-1-4842-4463-0_2,Christos Karayiannis,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4463-0_2,Chapter
Are Artists Phenomenologists? Perspectives from Edith Landmann-Kalischer and Maurice Merleau-Ponty,Horizons of Phenomenology,,,,10.1007/978-3-031-26074-2_13,Samantha Matherne,2023,https://link.springer.com/chapter/10.1007/978-3-031-26074-2_13,Chapter
Letter R,An Illustrated Guide to Anatomical Eponyms,,,,10.1007/978-3-031-91664-9_16,Hans J. ten DonkelaarMarina QuartuDavid Kachlík,2025,https://link.springer.com/chapter/10.1007/978-3-031-91664-9_16,Chapter
Resident and Faculty Well-Being and Burnout,Graduate Medical Education in Family Medicine,,,,10.1007/978-3-031-70741-4_24,Lauren Brown-BerchtoldCaitlin Matthis,2025,https://link.springer.com/chapter/10.1007/978-3-031-70741-4_24,Chapter
A Secured and Safe Cloud Storage Computing System Using a Distinctive Lightweight Data Identification and Sharing Algorithm,Computational Intelligence in Machine Learning,,,,10.1007/978-981-96-4391-2_36,Badam PrashanthVoruganti Naresh KumarG. Pavan KumarB. SiviahAbdul Subhani ShaikSiva Skandha Sanagala,2025,https://link.springer.com/chapter/10.1007/978-981-96-4391-2_36,Conference paper
Microalgae Biomass As a Sustainable Source of Bioplastics,Microalgae as Promising Source of Commercial Bioproducts,,,,10.1007/978-3-031-86433-9_18,Omar Nateras-RamírezKaren Itzel Carrillo-CañedoErnesto Aguilar-PalazuelosPerla Rosa Fitch-Vargas,2025,https://link.springer.com/chapter/10.1007/978-3-031-86433-9_18,Chapter
A System to Defend Living Beings Against Each Other,Endless Immunity,,,,10.1007/978-3-031-96484-8_1,Marc Daëron,2025,https://link.springer.com/chapter/10.1007/978-3-031-96484-8_1,Chapter
Spiroplasma,Compendium of Phytopathogenic Microbes in Agro-Ecology,,,,10.1007/978-3-031-81999-5_11,Harshpreet KaurSandeep Bedwal,2025,https://link.springer.com/chapter/10.1007/978-3-031-81999-5_11,Chapter
How Do I Make Sure That I (and Others) Still Understand My Program Later?,Learn coding with Python and JavaScript,,,,10.1007/978-3-658-42912-6_10,Joachim L. Zuckarelli,2024,https://link.springer.com/chapter/10.1007/978-3-658-42912-6_10,Chapter
Political Utilization of the Occult: Embracing the Occult,Occult Rumors and Politics in Ghana,,,,10.1007/978-3-031-59807-4_7,Comfort Max-Wirth,2024,https://link.springer.com/chapter/10.1007/978-3-031-59807-4_7,Chapter
Nouns and Iconicity of Distance: When Syntactic Proximity to the Noun Mirrors Semantic Closeness,Nouns and the Morphosyntax / Semantics Interface,,,,10.1007/978-3-031-44561-3_11,Jan Rijkhoff,2024,https://link.springer.com/chapter/10.1007/978-3-031-44561-3_11,Chapter
Work-in-Process Delay Problem: A Process Optimization in the Corrugator Department in a Philippine Manufacturing Company,Convergence of Ergonomics and Design,,,,10.1007/978-3-030-63335-6_7,Pearl R. Dela PeñaApril Joy C. DawatesMarie Isabel F. GarzaNiña M. SuarezYoshiki B. Kurata,2021,https://link.springer.com/chapter/10.1007/978-3-030-63335-6_7,Conference paper
Development of the Online Geospatial Problem-Solving Instrument: Investigating Elementary Students’ Perceptual Processes in Geospatial Problem-Solving,Re-visioning Geography,,,,10.1007/978-3-031-40747-5_2,Christos Vonapartis KosmidisNikos Lambrinos,2023,https://link.springer.com/chapter/10.1007/978-3-031-40747-5_2,Chapter
"Impacts of the COVID-19 Pandemic on Tourism Livelihoods in Island Destinations: The Case of Cagbalete Island, Quezon, Philippines","COVID-19, Tourist Destinations and Prospects for Recovery",,,,10.1007/978-3-031-22257-3_4,Rielle Christian D. Alcantara,2023,https://link.springer.com/chapter/10.1007/978-3-031-22257-3_4,Chapter
Image Captcha Blended with OTP for Secured Authentication,Intelligent Computing and Optimization,,,,10.1007/978-3-031-73318-5_20,B. Bazeer AhamedMurugan Krishnamoorthy,2024,https://link.springer.com/chapter/10.1007/978-3-031-73318-5_20,Conference paper
The Development of the Self at&#xa0;Risk and Therapeutic Consultations: The Work of Donald Winnicott,Handbook of Child and Adolescent Development and Education,,,,10.1007/978-3-031-98319-1_20,Patrick O’Malley,2025,https://link.springer.com/chapter/10.1007/978-3-031-98319-1_20,Chapter
Exploring the Impact of Emerging Pretreatment Technologies on Effective Lignocellulosic Biomass Utilization,Value Addition and Utilization of Lignocellulosic Biomass,,,,10.1007/978-981-96-2786-8_3,Vishnu Damodaran NambissanSaivi SinghSathyanarayana N. Gummadi,2025,https://link.springer.com/chapter/10.1007/978-981-96-2786-8_3,Chapter
The Multiple Endocrine Neoplasia Syndromes,Neuroendocrine Tumours,,,,10.1007/978-3-031-56968-5_21,Kira OleinikovDavid J. GrossSimona Grozinsky-Glasberg,2024,https://link.springer.com/chapter/10.1007/978-3-031-56968-5_21,Chapter
Introduction to the Web,Handbook for CTFers,,,,10.1007/978-981-19-0336-6_1,,2022,https://link.springer.com/chapter/10.1007/978-981-19-0336-6_1,Chapter
Letter A,An Illustrated Guide to Anatomical Eponyms,,,,10.1007/978-3-031-91664-9_2,Hans J. ten DonkelaarMarina QuartuDavid Kachlík,2025,https://link.springer.com/chapter/10.1007/978-3-031-91664-9_2,Chapter
AJAX,jQuery Recipes,,,,10.1007/978-1-4842-7304-3_10,Bintu Harwani,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7304-3_10,Chapter
"XML, TEI, CDL",A Course in Natural Language Processing,,,,10.1007/978-3-031-27226-4_13,Yannis Haralambous,2024,https://link.springer.com/chapter/10.1007/978-3-031-27226-4_13,Chapter
Visualizing Spatial Data from Access Logs,Pro Data Visualization Using R and JavaScript,,,,10.1007/978-1-4842-7202-2_5,Tom BarkerJon Westfall,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7202-2_5,Chapter
Merleau-Ponty’s Critique of the Sartrean Conception of the Imaginary,Merleau-Ponty: An Ontology of the Imaginary,,,,10.1007/978-3-031-73826-5_14,Annabelle Dufourcq,2024,https://link.springer.com/chapter/10.1007/978-3-031-73826-5_14,Chapter
Design and Development of Virtual Simulation Lab with Technology-Enabled Self-assessment,Proceedings of International Conference on Communication and Artificial Intelligence,,,,10.1007/978-981-19-0976-4_10,Ajay Kant UpadhyayMayank P. SinghAmit Yadav,2022,https://link.springer.com/chapter/10.1007/978-981-19-0976-4_10,Conference paper
