Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
PHP Core Security,Building Secure PHP Applications,,,,10.1007/979-8-8688-0932-3_2,Satej Kumar Sahu,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0932-3_2,Chapter
Error and Exception Handling,Beginning PHP and MySQL,,,,10.1007/978-1-4302-6044-8_8,Frank M. Kromann,2018,https://link.springer.com/chapter/10.1007/978-1-4302-6044-8_8,Chapter
Installation and Configuration,PHP and MySQL Recipes,,,,10.1007/978-1-4842-0605-8_1,Frank M. Kromann,2016,https://link.springer.com/chapter/10.1007/978-1-4842-0605-8_1,Chapter
"Security, Forms, and Error Handling",Expert PHP and MySQL,,,,10.1007/978-1-4302-6008-0_6,Marc Rochkind,2013,https://link.springer.com/chapter/10.1007/978-1-4302-6008-0_6,Chapter
Security,Pro PHP Programming,,,,10.1007/978-1-4302-3561-3_11,Peter MacIntyreBrian DanchillaMladen Gogala,2011,https://link.springer.com/chapter/10.1007/978-1-4302-3561-3_11,Chapter
Introduction to Module Development,The Definitive Guide to Drupal 7,,,,10.1007/978-1-4302-3136-3_18,Benjamin Melançon,2011,https://link.springer.com/chapter/10.1007/978-1-4302-3136-3_18,Chapter
Error and Exception Handling,Beginning PHP and MySQL,,,,10.1007/978-1-4302-3115-8_8,,2010,https://link.springer.com/chapter/10.1007/978-1-4302-3115-8_8,Chapter
Using AMFPHP,The Essential Guide to Open Source Flash Development,,,,10.1007/978-1-4302-0994-2_7,Wade Arnold,2008,https://link.springer.com/chapter/10.1007/978-1-4302-0994-2_7,Chapter
Error and Exception Handling,Beginning PHP and MySQL,,,,10.1007/978-1-4302-0299-8_8,,2008,https://link.springer.com/chapter/10.1007/978-1-4302-0299-8_8,Chapter
Error and Exception Handling,Beginning PHP and Oracle,,,,10.1007/978-1-4302-0367-4_8,,2007,https://link.springer.com/chapter/10.1007/978-1-4302-0367-4_8,Chapter
Installing and Configuring Apache and PHP,Beginning PHP and PostgreSQL 8,,,,10.1007/978-1-4302-0136-6_2,,2006,https://link.springer.com/chapter/10.1007/978-1-4302-0136-6_2,Chapter
Installing and Configuring Apache and PHP,Beginning PHP and MySQL 5,,,,10.1007/978-1-4302-0117-5_2,,2006,https://link.springer.com/chapter/10.1007/978-1-4302-0117-5_2,Chapter
Error and Exception Handling,Beginning PHP and MySQL 5,,,,10.1007/978-1-4302-0117-5_8,,2006,https://link.springer.com/chapter/10.1007/978-1-4302-0117-5_8,Chapter
Error and Exception Handling,Beginning PHP and PostgreSQL 8,,,,10.1007/978-1-4302-0136-6_8,,2006,https://link.springer.com/chapter/10.1007/978-1-4302-0136-6_8,Chapter
Extending Apache,Pro Apache,,,,10.1007/978-1-4302-0658-3_12,Peter Wainwright,2004,https://link.springer.com/chapter/10.1007/978-1-4302-0658-3_12,Chapter
