Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
PHP Core Security,Building Secure PHP Applications,,,,10.1007/979-8-8688-0932-3_2,Satej Kumar Sahu,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0932-3_2,Chapter
Web Security for PHP Applications,Building Secure PHP Applications,,,,10.1007/979-8-8688-0932-3_3,Satej Kumar Sahu,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0932-3_3,Chapter
Working with PHP,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_2,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_2,Chapter
How to Write PHP Scripts,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_3,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_3,Chapter
PHP,Tweak Your Mac Terminal,,,,10.1007/978-1-4842-6171-2_6,Daniel Platt,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6171-2_6,Chapter
Sessions and Cookies,PHP 8 Basics,,,,10.1007/978-1-4842-8082-9_7,Gunnard EngebrethSatej Kumar Sahu,2023,https://link.springer.com/chapter/10.1007/978-1-4842-8082-9_7,Chapter
Sessions and Logging In,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_10,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_10,Chapter
APIs and Events in a Serverless World,Crafting Great APIs with Domain-Driven Design,,,,10.1007/979-8-8688-1457-0_13,Annegret JunkerFabrizio Lazzaretti,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1457-0_13,Chapter
Security Standards and Best Practices,Building Secure PHP Applications,,,,10.1007/979-8-8688-0932-3_5,Satej Kumar Sahu,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0932-3_5,Chapter
Pages That Remember: Simple Login and Multipage Forms,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_11,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_11,Chapter
A Configuration System,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_11,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_11,Chapter
Preventing SQL Injection Attacks on Web Applications for Enhanced Security and CIA Triad Compliance,Advances in Information Communication Technology and Computing,,,,10.1007/978-981-97-6103-6_8,Sriramoju RahulU. KumaranThippaluru Tharun SaiTripuramallu PramodhSundaravadivazhagn Balasubramanian,2024,https://link.springer.com/chapter/10.1007/978-981-97-6103-6_8,Conference paper
A Content Management System,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_12,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_12,Chapter
Authenticating Users with a Database,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_19,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_19,Chapter
Basic Blog: Images and Authentication,PHP 8 for Absolute Beginners,,,,10.1007/978-1-4842-8205-2_9,Jason LengstorfThomas Blom HansenSteve Prettyman,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8205-2_9,Chapter
AWD,Handbook for CTFers,,,,10.1007/978-981-19-0336-6_11,,2022,https://link.springer.com/chapter/10.1007/978-981-19-0336-6_11,Chapter
Recent Techniques Supporting Vulnerabilities Management for Secure Online Apps,Advances in Cybersecurity Management,,,,10.1007/978-3-030-71381-2_12,Tun Myat AungNi Ni Hla,2021,https://link.springer.com/chapter/10.1007/978-3-030-71381-2_12,Chapter
User Input,PHP 8 Quick Scripting Reference,,,,10.1007/978-1-4842-6619-9_23,Mikael Olsson,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6619-9_23,Chapter
Sessions,PHP 8 Quick Scripting Reference,,,,10.1007/978-1-4842-6619-9_25,Mikael Olsson,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6619-9_25,Chapter
"Config, Cache, Sessions, Filesystems",Pro PHP 8 MVC,,,,10.1007/978-1-4842-6957-2_10,Christopher Pitt,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6957-2_10,Chapter
Testing Our Framework,Pro PHP 8 MVC,,,,10.1007/978-1-4842-6957-2_9,Christopher Pitt,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6957-2_9,Chapter
How to Write PHP Scripts,PHP 7 Solutions,,,,10.1007/978-1-4842-4338-1_3,David Powers,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4338-1_3,Chapter
Building a Dependency Injection Container,Pro PHP 8 MVC,,,,10.1007/978-1-4842-6957-2_8,Christopher Pitt,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6957-2_8,Chapter
Building a Validator,Pro PHP 8 MVC,,,,10.1007/978-1-4842-6957-2_5,Christopher Pitt,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6957-2_5,Chapter
"Queues, Logging, Emails",Pro PHP 8 MVC,,,,10.1007/978-1-4842-6957-2_11,Christopher Pitt,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6957-2_11,Chapter
Authentication,Learn PHP 8,,,,10.1007/978-1-4842-6240-5_8,Steve Prettyman,2020,https://link.springer.com/chapter/10.1007/978-1-4842-6240-5_8,Chapter
Multifunctional Interfaces,Learn PHP 8,,,,10.1007/978-1-4842-6240-5_9,Steve Prettyman,2020,https://link.springer.com/chapter/10.1007/978-1-4842-6240-5_9,Chapter
Pages That Remember: Simple Login and Multipage Forms,PHP 7 Solutions,,,,10.1007/978-1-4842-4338-1_11,David Powers,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4338-1_11,Chapter
Implementing Secure Sockets Layer on Your Site,Web-Based Projects that Rock the Class,,,,10.1007/978-1-4842-4463-0_8,Christos Karayiannis,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4463-0_8,Chapter
Authenticating Users with a Database,PHP 7 Solutions,,,,10.1007/978-1-4842-4338-1_19,David Powers,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4338-1_19,Chapter
