Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Using PHP,PHP by Example,,,,10.1007/979-8-8688-0258-4_12,Alex Vasilev,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0258-4_12,Chapter
PHP on the Command Line,"PHP 8 Objects, Patterns, and Practice: Volume 2",,,,10.1007/979-8-8688-0779-4_11,Matt Zandstra,2025,https://link.springer.com/chapter/10.1007/979-8-8688-0779-4_11,Chapter
PHP Core Security,Building Secure PHP Applications,,,,10.1007/979-8-8688-0932-3_2,Satej Kumar Sahu,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0932-3_2,Chapter
Working with PHP,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_2,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_2,Chapter
Web Security for PHP Applications,Building Secure PHP Applications,,,,10.1007/979-8-8688-0932-3_3,Satej Kumar Sahu,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0932-3_3,Chapter
PHP Fundamentals,PHP 8 Basics,,,,10.1007/978-1-4842-8082-9_2,Gunnard EngebrethSatej Kumar Sahu,2023,https://link.springer.com/chapter/10.1007/978-1-4842-8082-9_2,Chapter
Building RESTful APIs with Laravel (PHP),Mastering REST APIs,,,,10.1007/979-8-8688-0309-3_5,Sivaraj Selvaraj,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0309-3_5,Chapter
PHP and MySQL Working Together,PHP 8 Basics,,,,10.1007/978-1-4842-8082-9_10,Gunnard EngebrethSatej Kumar Sahu,2023,https://link.springer.com/chapter/10.1007/978-1-4842-8082-9_10,Chapter
"PHP Exceptions, Validation, and Regular Expressions",PHP 8 Basics,,,,10.1007/978-1-4842-8082-9_9,Gunnard EngebrethSatej Kumar Sahu,2023,https://link.springer.com/chapter/10.1007/978-1-4842-8082-9_9,Chapter
How to Write PHP Scripts,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_3,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_3,Chapter
PHP: A Quick Reference,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_4,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_4,Chapter
What Is PHP 8?,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_1,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_1,Chapter
Reviewing PHP 8 Basic Syntax,PHP 8 for Absolute Beginners,,,,10.1007/978-1-4842-8205-2_5,Jason LengstorfThomas Blom HansenSteve Prettyman,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8205-2_5,Chapter
Understanding PHP: Language Basics,PHP 8 for Absolute Beginners,,,,10.1007/978-1-4842-8205-2_2,Jason LengstorfThomas Blom HansenSteve Prettyman,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8205-2_2,Chapter
Using PHP to Manage Files,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_7,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_7,Chapter
Getting Ready to Work with PHP,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_2,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_2,Chapter
Connecting to a Database with PHP and SQL,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_13,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_13,Chapter
Building a LAMP Stack: Apache and PHP,Practical Linux DevOps,,,,10.1007/978-1-4842-8318-9_5,John S. Tonello,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8318-9_5,Chapter
PHP,Tweak Your Mac Terminal,,,,10.1007/978-1-4842-6171-2_6,Daniel Platt,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6171-2_6,Chapter
Using PHP,PHP 8 Quick Scripting Reference,,,,10.1007/978-1-4842-6619-9_1,Mikael Olsson,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6619-9_1,Chapter
Functions,PHP by Example,,,,10.1007/979-8-8688-0258-4_5,Alex Vasilev,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0258-4_5,Chapter
Classes and Objects,PHP by Example,,,,10.1007/979-8-8688-0258-4_7,Alex Vasilev,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0258-4_7,Chapter
The First Program,PHP by Example,,,,10.1007/979-8-8688-0258-4_1,Alex Vasilev,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0258-4_1,Chapter
Advanced OOP Mechanisms,PHP by Example,,,,10.1007/979-8-8688-0258-4_9,Alex Vasilev,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0258-4_9,Chapter
Inheritance,PHP by Example,,,,10.1007/979-8-8688-0258-4_8,Alex Vasilev,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0258-4_8,Chapter
File Handling,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_7,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_7,Chapter
Noise Prediction: A&#xa0;Case Study&#xa0;of Gjilan City,Intelligent System and Data Analysis,,,,10.1007/978-981-97-5200-3_11,Buen BajramiKostandina Veljanovska,2025,https://link.springer.com/chapter/10.1007/978-981-97-5200-3_11,Conference paper
Data and Data Types,PHP 8 Basics,,,,10.1007/978-1-4842-8082-9_4,Gunnard EngebrethSatej Kumar Sahu,2023,https://link.springer.com/chapter/10.1007/978-1-4842-8082-9_4,Chapter
Arrays,PHP by Example,,,,10.1007/979-8-8688-0258-4_4,Alex Vasilev,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0258-4_4,Chapter
Security Standards and Best Practices,Building Secure PHP Applications,,,,10.1007/979-8-8688-0932-3_5,Satej Kumar Sahu,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0932-3_5,Chapter
Arrays,PHP 8 Basics,,,,10.1007/978-1-4842-8082-9_6,Gunnard EngebrethSatej Kumar Sahu,2023,https://link.springer.com/chapter/10.1007/978-1-4842-8082-9_6,Chapter
"Functions, Classes, and Traits",PHP 8 Basics,,,,10.1007/978-1-4842-8082-9_3,Gunnard EngebrethSatej Kumar Sahu,2023,https://link.springer.com/chapter/10.1007/978-1-4842-8082-9_3,Chapter
Form Data,PHP 8 Basics,,,,10.1007/978-1-4842-8082-9_5,Gunnard EngebrethSatej Kumar Sahu,2023,https://link.springer.com/chapter/10.1007/978-1-4842-8082-9_5,Chapter
Getting Started,PHP 8 Basics,,,,10.1007/978-1-4842-8082-9_1,Gunnard EngebrethSatej Kumar Sahu,2023,https://link.springer.com/chapter/10.1007/978-1-4842-8082-9_1,Chapter
