Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Using PHP,PHP by Example,,,,10.1007/979-8-8688-0258-4_12,Alex Vasilev,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0258-4_12,Chapter
PHP Standards,"PHP 8 Objects, Patterns, and Practice: Volume 2",,,,10.1007/979-8-8688-0779-4_3,Matt Zandstra,2025,https://link.springer.com/chapter/10.1007/979-8-8688-0779-4_3,Chapter
PHP on the Command Line,"PHP 8 Objects, Patterns, and Practice: Volume 2",,,,10.1007/979-8-8688-0779-4_11,Matt Zandstra,2025,https://link.springer.com/chapter/10.1007/979-8-8688-0779-4_11,Chapter
Working with PHP,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_2,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_2,Chapter
Experimental Investigation of PHP with Hybrid Nanofluid for EV Battery Thermal Management,"Fluid Mechanics and Fluid Power, Volume 1",,,,10.1007/978-981-99-7827-4_4,Nikhil S. ManeSiddhartha TripathiVadiraj Hemadri,2024,https://link.springer.com/chapter/10.1007/978-981-99-7827-4_4,Conference paper
PHP and MySQL Working Together,PHP 8 Basics,,,,10.1007/978-1-4842-8082-9_10,Gunnard EngebrethSatej Kumar Sahu,2023,https://link.springer.com/chapter/10.1007/978-1-4842-8082-9_10,Chapter
"PHP Exceptions, Validation, and Regular Expressions",PHP 8 Basics,,,,10.1007/978-1-4842-8082-9_9,Gunnard EngebrethSatej Kumar Sahu,2023,https://link.springer.com/chapter/10.1007/978-1-4842-8082-9_9,Chapter
"Making (Only) the&#xa0;Right Calls: Preventing Remote Code Execution Attacks in&#xa0;PHP Applications with&#xa0;Contextual, State-Sensitive System Call Filtering","Detection of Intrusions and Malware, and Vulnerability Assessment",,,,10.1007/978-3-031-97620-9_3,Yunsen LeiCraig A. Shue,2025,https://link.springer.com/chapter/10.1007/978-3-031-97620-9_3,Conference paper
PHP: A Quick Reference,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_4,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_4,Chapter
How to Write PHP Scripts,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_3,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_3,Chapter
Using PHP to Manage Files,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_7,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_7,Chapter
Reviewing PHP 8 Basic Syntax,PHP 8 for Absolute Beginners,,,,10.1007/978-1-4842-8205-2_5,Jason LengstorfThomas Blom HansenSteve Prettyman,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8205-2_5,Chapter
Understanding PHP: Language Basics,PHP 8 for Absolute Beginners,,,,10.1007/978-1-4842-8205-2_2,Jason LengstorfThomas Blom HansenSteve Prettyman,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8205-2_2,Chapter
Building SSA in a Compiler for PHP,SSA-based Compiler Design,,,,10.1007/978-3-030-80515-9_24,Paul BiggarDavid Gregg,2022,https://link.springer.com/chapter/10.1007/978-3-030-80515-9_24,Chapter
Connecting to a Database with PHP and SQL,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_13,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_13,Chapter
PHP,Tweak Your Mac Terminal,,,,10.1007/978-1-4842-6171-2_6,Daniel Platt,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6171-2_6,Chapter
The First Program,PHP by Example,,,,10.1007/979-8-8688-0258-4_1,Alex Vasilev,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0258-4_1,Chapter
