Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Email and Form Processing,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_3,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_3,Chapter
Framework Security,Building Secure PHP Applications,,,,10.1007/979-8-8688-0932-3_4,Satej Kumar Sahu,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0932-3_4,Chapter
Implementing The Authentication System and Dashboard,API Development with Laravel,,,,10.1007/979-8-8688-1576-8_5,Adegoke Akintoye,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1576-8_5,Chapter
Implementing Endpoints and Generating Documentation,API Development with Laravel,,,,10.1007/979-8-8688-1576-8_6,Adegoke Akintoye,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1576-8_6,Chapter
The Control Statements,PHP by Example,,,,10.1007/979-8-8688-0258-4_3,Alex Vasilev,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0258-4_3,Chapter
Managing Data,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_9,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_9,Chapter
Sessions and Logging In,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_10,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_10,Chapter
A Content Management System,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_12,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_12,Chapter
Laravel for API Development: Further Steps,API Development with Laravel,,,,10.1007/979-8-8688-1576-8_4,Adegoke Akintoye,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1576-8_4,Chapter
NecessiPick: Data Extraction and AI Data Refinement in Food Retail Comparison,Inventive Communication and Computational Technologies,,,,10.1007/978-981-97-7710-5_51,Jennefer Brazil LeeMaria Christine Cerrado HandogNicole Lanuza BaltazarBryan Dadiz,2024,https://link.springer.com/chapter/10.1007/978-981-97-7710-5_51,Conference paper
Securing Laravel Applications,Building Real-Time Marvels with Laravel,,,,10.1007/978-1-4842-9789-6_23,Sivaraj Selvaraj,2024,https://link.springer.com/chapter/10.1007/978-1-4842-9789-6_23,Chapter
Advanced Web Challenges,Handbook for CTFers,,,,10.1007/978-981-19-0336-6_3,,2022,https://link.springer.com/chapter/10.1007/978-981-19-0336-6_3,Chapter
Authentication and Authorization,Building Real-Time Marvels with Laravel,,,,10.1007/978-1-4842-9789-6_4,Sivaraj Selvaraj,2024,https://link.springer.com/chapter/10.1007/978-1-4842-9789-6_4,Chapter
Advanced WordPress Customization Techniques,Pro WordPress,,,,10.1007/979-8-8688-0971-2_4,Sivaraj Selvaraj,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0971-2_4,Chapter
Templates,High-Performance Web Apps with FastAPI,,,,10.1007/978-1-4842-9178-8_4,Malhar Lathkar,2023,https://link.springer.com/chapter/10.1007/978-1-4842-9178-8_4,Chapter
Advanced UI/UX Design Patterns for Laravel,Building Real-Time Marvels with Laravel,,,,10.1007/978-1-4842-9789-6_20,Sivaraj Selvaraj,2024,https://link.springer.com/chapter/10.1007/978-1-4842-9789-6_20,Chapter
Go Beyond : Connecting to C for a Performance Boost,Go Crazy,,,,10.1007/978-1-4842-9666-0_6,Nicolas Modrzyk,2023,https://link.springer.com/chapter/10.1007/978-1-4842-9666-0_6,Chapter
Running a Blog,Beginning Ansible Concepts and Application,,,,10.1007/978-1-4842-8173-4_11,Shaun R SmithPeter Membrey,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8173-4_11,Chapter
Code Injection Prevention in Content Management Systems Using Machine Learning,Computational Vision and Bio-Inspired Computing,,,,10.1007/978-981-16-9573-5_4,C. KavithamaniR. S. Sankara SubramanianSrinevasan KrishnamurthyJayakrishnan ChathuGayatri Iyer,2022,https://link.springer.com/chapter/10.1007/978-981-16-9573-5_4,Conference paper
Syntax,Programming Language Design and Implementation,,,,10.1007/978-3-031-93299-1_3,Torben Ægidius Mogensen,2026,https://link.springer.com/chapter/10.1007/978-3-031-93299-1_3,Chapter
Code Generation,Domain-Specific Languages,,,,10.1007/978-3-031-23669-3_9,Andrzej WąsowskiThorsten Berger,2023,https://link.springer.com/chapter/10.1007/978-3-031-23669-3_9,Chapter
Building a Template Engine,Pro PHP 8 MVC,,,,10.1007/978-1-4842-6957-2_4,Christopher Pitt,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6957-2_4,Chapter
Conditionals,PHP 8 Quick Scripting Reference,,,,10.1007/978-1-4842-6619-9_6,Mikael Olsson,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6619-9_6,Chapter
Tips and Tricks,Visual Studio Extensibility Development,,,,10.1007/978-1-4842-9875-6_9,Rishabh Verma,2024,https://link.springer.com/chapter/10.1007/978-1-4842-9875-6_9,Chapter
Building a Dependency Injection Container,Pro PHP 8 MVC,,,,10.1007/978-1-4842-6957-2_8,Christopher Pitt,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6957-2_8,Chapter
Testing Our Framework,Pro PHP 8 MVC,,,,10.1007/978-1-4842-6957-2_9,Christopher Pitt,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6957-2_9,Chapter
The Origins of Automated Unit Testing,Automated Unit Testing with ABAP,,,,10.1007/978-1-4842-6951-0_4,James E. McDonough,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6951-0_4,Chapter
Syntax,Programming Language Design and Implementation,,,,10.1007/978-3-031-11806-7_3,Torben Ægidius Mogensen,2022,https://link.springer.com/chapter/10.1007/978-3-031-11806-7_3,Chapter
Building a Validator,Pro PHP 8 MVC,,,,10.1007/978-1-4842-6957-2_5,Christopher Pitt,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6957-2_5,Chapter
Outputs of Ring,Beginning Ring Programming,,,,10.1007/978-1-4842-5833-0_4,Mansour Ayouni,2020,https://link.springer.com/chapter/10.1007/978-1-4842-5833-0_4,Chapter
"Routing, Controllers, Templates, and Views",Beginning Laravel,,,,10.1007/978-1-4842-4991-8_3,Sanjib Sinha,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4991-8_3,Chapter
