Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
PHP Core Security,Building Secure PHP Applications,,,,10.1007/979-8-8688-0932-3_2,Satej Kumar Sahu,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0932-3_2,Chapter
Object Basics,"PHP 8 Objects, Patterns, and Practice: Volume 1",,,,10.1007/979-8-8688-0482-3_3,Matt Zandstra,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0482-3_3,Chapter
Security Standards and Best Practices,Building Secure PHP Applications,,,,10.1007/979-8-8688-0932-3_5,Satej Kumar Sahu,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0932-3_5,Chapter
Vagrant,"PHP 8 Objects, Patterns, and Practice: Volume 2",,,,10.1007/979-8-8688-0779-4_8,Matt Zandstra,2025,https://link.springer.com/chapter/10.1007/979-8-8688-0779-4_8,Chapter
Apache Web Server,Using and Administering Linux: Volume 3,,,,10.1007/978-1-4842-9786-5_51,David Both,2023,https://link.springer.com/chapter/10.1007/978-1-4842-9786-5_51,Chapter
Log Files,Apache Essentials,,,,10.1007/978-1-4842-8324-0_6,Darren James Harkness,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8324-0_6,Chapter
Sample Apache Configurations,Apache Essentials,,,,10.1007/978-1-4842-8324-0_7,Darren James Harkness,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8324-0_7,Chapter
Error Handling,PHP 8 Quick Scripting Reference,,,,10.1007/978-1-4842-6619-9_29,Mikael Olsson,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6619-9_29,Chapter
Basic Blog: Images and Authentication,PHP 8 for Absolute Beginners,,,,10.1007/978-1-4842-8205-2_9,Jason LengstorfThomas Blom HansenSteve Prettyman,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8205-2_9,Chapter
PHP,Cyber Operations,,,,10.1007/978-1-4842-4294-0_20,Mike O’Leary,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4294-0_20,Chapter
Object Basics,"PHP 8 Objects, Patterns, and Practice",,,,10.1007/978-1-4842-6791-2_3,Matt Zandstra,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6791-2_3,Chapter
Configuration Essentials,Apache Essentials,,,,10.1007/978-1-4842-8324-0_2,Darren James Harkness,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8324-0_2,Chapter
Web Server Part 1: Apache/Nginx Basics,Practical Internet Server Configuration,,,,10.1007/978-1-4842-6960-2_9,Robert La Lau,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6960-2_9,Chapter
Vagrant,"PHP 8 Objects, Patterns, and Practice",,,,10.1007/978-1-4842-6791-2_20,Matt Zandstra,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6791-2_20,Chapter
Handling and Logging Exceptions,Learn PHP 8,,,,10.1007/978-1-4842-6240-5_6,Steve Prettyman,2020,https://link.springer.com/chapter/10.1007/978-1-4842-6240-5_6,Chapter
Installing an Open Source Software Product: WordPress,Set Up and Manage Your Virtual Private Server,,,,10.1007/978-1-4842-6966-4_8,Jon Westfall,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6966-4_8,Chapter
Containerizing and Automating Your Deployments,Practical Linux DevOps,,,,10.1007/978-1-4842-8318-9_8,John S. Tonello,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8318-9_8,Chapter
Authentication,Learn PHP 8,,,,10.1007/978-1-4842-6240-5_8,Steve Prettyman,2020,https://link.springer.com/chapter/10.1007/978-1-4842-6240-5_8,Chapter
Data Objects,Learn PHP 8,,,,10.1007/978-1-4842-6240-5_7,Steve Prettyman,2020,https://link.springer.com/chapter/10.1007/978-1-4842-6240-5_7,Chapter
Multifunctional Interfaces,Learn PHP 8,,,,10.1007/978-1-4842-6240-5_9,Steve Prettyman,2020,https://link.springer.com/chapter/10.1007/978-1-4842-6240-5_9,Chapter
Apache Web Server,Using and Administering Linux: Volume 3,,,,10.1007/978-1-4842-5485-1_10,David Both,2020,https://link.springer.com/chapter/10.1007/978-1-4842-5485-1_10,Chapter
Deploying Masonite,The Definitive Guide to Masonite,,,,10.1007/978-1-4842-5602-2_13,Christopher PittJoe Mancuso,2020,https://link.springer.com/chapter/10.1007/978-1-4842-5602-2_13,Chapter
Creating a Simple Web App,Building Scalable PHP Web Applications Using the Cloud,,,,10.1007/978-1-4842-5212-3_4,Jonathan Bartlett,2019,https://link.springer.com/chapter/10.1007/978-1-4842-5212-3_4,Chapter
Linux Security Basics,Building Scalable PHP Web Applications Using the Cloud,,,,10.1007/978-1-4842-5212-3_13,Jonathan Bartlett,2019,https://link.springer.com/chapter/10.1007/978-1-4842-5212-3_13,Chapter
Create a Product Catalog,"Practical PHP 7, MySQL 8, and MariaDB Website Databases",,,,10.1007/978-1-4842-3843-1_8,Adrian W. WestSteve Prettyman,2018,https://link.springer.com/chapter/10.1007/978-1-4842-3843-1_8,Chapter
Apache and ModSecurity,Cyber Operations,,,,10.1007/978-1-4842-4294-0_14,Mike O’Leary,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4294-0_14,Chapter
Join Multiple Tables and Other Enhancements,"Practical PHP 7, MySQL 8, and MariaDB Website Databases",,,,10.1007/978-1-4842-3843-1_9,Adrian W. WestSteve Prettyman,2018,https://link.springer.com/chapter/10.1007/978-1-4842-3843-1_9,Chapter
E-commerce: A Brief Introduction,"Practical PHP 7, MySQL 8, and MariaDB Website Databases",,,,10.1007/978-1-4842-3843-1_11,Adrian W. WestSteve Prettyman,2018,https://link.springer.com/chapter/10.1007/978-1-4842-3843-1_11,Chapter
Migrate to a Host and Back Up Your Website Database,"Practical PHP 7, MySQL 8, and MariaDB Website Databases",,,,10.1007/978-1-4842-3843-1_7,Adrian W. WestSteve Prettyman,2018,https://link.springer.com/chapter/10.1007/978-1-4842-3843-1_7,Chapter
Error and Exception Handling,Beginning PHP and MySQL,,,,10.1007/978-1-4302-6044-8_8,Frank M. Kromann,2018,https://link.springer.com/chapter/10.1007/978-1-4302-6044-8_8,Chapter
Create a Message Board,"Practical PHP 7, MySQL 8, and MariaDB Website Databases",,,,10.1007/978-1-4842-3843-1_10,Adrian W. WestSteve Prettyman,2018,https://link.springer.com/chapter/10.1007/978-1-4842-3843-1_10,Chapter
Error Handling,PHP 7 Zend Certification Study Guide,,,,10.1007/978-1-4842-3246-0_11,Andrew Beak,2017,https://link.springer.com/chapter/10.1007/978-1-4842-3246-0_11,Chapter
Installation and Configuration,PHP and MySQL Recipes,,,,10.1007/978-1-4842-0605-8_1,Frank M. Kromann,2016,https://link.springer.com/chapter/10.1007/978-1-4842-0605-8_1,Chapter
User-Facing Software,PHP CLI,,,,10.1007/978-1-4842-2238-6_4,Rob Aley,2016,https://link.springer.com/chapter/10.1007/978-1-4842-2238-6_4,Chapter
Distribution and Deployment Issues,PHP Beyond the Web,,,,10.1007/978-1-4842-2481-6_10,Rob Aley,2016,https://link.springer.com/chapter/10.1007/978-1-4842-2481-6_10,Chapter
Error Handling,PHP 7 Quick Scripting Reference,,,,10.1007/978-1-4842-1922-5_29,Mikael Olsson,2016,https://link.springer.com/chapter/10.1007/978-1-4842-1922-5_29,Chapter
Web and SQL Services,Pro Linux System Administration,,,,10.1007/978-1-4842-2008-5_11,Dennis MatotekJames TurnbullPeter Lieverdink,2017,https://link.springer.com/chapter/10.1007/978-1-4842-2008-5_11,Chapter
User-Facing Software,PHP Beyond the Web,,,,10.1007/978-1-4842-2481-6_5,Rob Aley,2016,https://link.springer.com/chapter/10.1007/978-1-4842-2481-6_5,Chapter
Handling and Logging Exceptions,Learn PHP 7,,,,10.1007/978-1-4842-1730-6_5,Steve Prettyman,2016,https://link.springer.com/chapter/10.1007/978-1-4842-1730-6_5,Chapter
Web Server,Learn CentOS Linux Network Services,,,,10.1007/978-1-4842-2379-6_7,Antonio Vazquez,2016,https://link.springer.com/chapter/10.1007/978-1-4842-2379-6_7,Chapter
Authentication,Learn PHP 7,,,,10.1007/978-1-4842-1730-6_7,Steve Prettyman,2016,https://link.springer.com/chapter/10.1007/978-1-4842-1730-6_7,Chapter
Multifunctional Interfaces,Learn PHP 7,,,,10.1007/978-1-4842-1730-6_8,Steve Prettyman,2016,https://link.springer.com/chapter/10.1007/978-1-4842-1730-6_8,Chapter
Data Objects,Learn PHP 7,,,,10.1007/978-1-4842-1730-6_6,Steve Prettyman,2016,https://link.springer.com/chapter/10.1007/978-1-4842-1730-6_6,Chapter
Nginx Core Directives,Nginx,,,,10.1007/978-1-4842-1656-9_3,Rahul Soni,2016,https://link.springer.com/chapter/10.1007/978-1-4842-1656-9_3,Chapter
Nginx Modules,Nginx,,,,10.1007/978-1-4842-1656-9_4,Rahul Soni,2016,https://link.springer.com/chapter/10.1007/978-1-4842-1656-9_4,Chapter
"Log Analysis, Monitoring, and Automation",Nginx,,,,10.1007/978-1-4842-1656-9_9,Rahul Soni,2016,https://link.springer.com/chapter/10.1007/978-1-4842-1656-9_9,Chapter
Vagrant,"PHP Objects, Patterns, and Practice",,,,10.1007/978-1-4842-1996-6_20,Matt Zandstra,2016,https://link.springer.com/chapter/10.1007/978-1-4842-1996-6_20,Chapter
Troubleshooting Tips and FAQ,Nginx,,,,10.1007/978-1-4842-1656-9_12,Rahul Soni,2016,https://link.springer.com/chapter/10.1007/978-1-4842-1656-9_12,Chapter
Nginx and Dynamic Content,Nginx,,,,10.1007/978-1-4842-1656-9_7,Rahul Soni,2016,https://link.springer.com/chapter/10.1007/978-1-4842-1656-9_7,Chapter
Get More with Wget,Practical Linux Topics,,,,10.1007/978-1-4842-1772-6_5,Chris Binnie,2016,https://link.springer.com/chapter/10.1007/978-1-4842-1772-6_5,Chapter
OpenLDAP,Learn CentOS Linux Network Services,,,,10.1007/978-1-4842-2379-6_11,Antonio Vazquez,2016,https://link.springer.com/chapter/10.1007/978-1-4842-2379-6_11,Chapter
