Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
PHP Core Security,Building Secure PHP Applications,,,,10.1007/979-8-8688-0932-3_2,Satej Kumar Sahu,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0932-3_2,Chapter
PHP Fundamentals,PHP 8 Basics,,,,10.1007/978-1-4842-8082-9_2,Gunnard EngebrethSatej Kumar Sahu,2023,https://link.springer.com/chapter/10.1007/978-1-4842-8082-9_2,Chapter
Web Security for PHP Applications,Building Secure PHP Applications,,,,10.1007/979-8-8688-0932-3_3,Satej Kumar Sahu,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0932-3_3,Chapter
Getting Ready to Work with PHP,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_2,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_2,Chapter
Understanding PHP: Language Basics,PHP 8 for Absolute Beginners,,,,10.1007/978-1-4842-8205-2_2,Jason LengstorfThomas Blom HansenSteve Prettyman,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8205-2_2,Chapter
Introduction and Setting Up,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_1,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_1,Chapter
Object Basics,"PHP 8 Objects, Patterns, and Practice: Volume 1",,,,10.1007/979-8-8688-0482-3_3,Matt Zandstra,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0482-3_3,Chapter
Connecting to a Database with PHP and SQL,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_13,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_13,Chapter
MSDetector: A Static PHP Webshell Detection System Based on Deep-Learning,Theoretical Aspects of Software Engineering,,,,10.1007/978-3-031-10363-6_11,Baijun ChengYanhui GuoYan RenGang YangGuosheng Xu,2022,https://link.springer.com/chapter/10.1007/978-3-031-10363-6_11,Conference paper
Error Handling,PHP by Example,,,,10.1007/979-8-8688-0258-4_10,Alex Vasilev,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0258-4_10,Chapter
Scripting Languages,Apache Essentials,,,,10.1007/978-1-4842-8324-0_4,Darren James Harkness,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8324-0_4,Chapter
Error Handling,PHP 8 Quick Scripting Reference,,,,10.1007/978-1-4842-6619-9_29,Mikael Olsson,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6619-9_29,Chapter
Lightening Your Workload with Includes,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_5,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_5,Chapter
PHP,Cyber Operations,,,,10.1007/978-1-4842-4294-0_20,Mike O’Leary,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4294-0_20,Chapter
