Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
PHP Core Security,Building Secure PHP Applications,,,,10.1007/979-8-8688-0932-3_2,Satej Kumar Sahu,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0932-3_2,Chapter
Future Trends in PHP Application Security,Building Secure PHP Applications,,,,10.1007/979-8-8688-0932-3_8,Satej Kumar Sahu,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0932-3_8,Chapter
Web Security for PHP Applications,Building Secure PHP Applications,,,,10.1007/979-8-8688-0932-3_3,Satej Kumar Sahu,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0932-3_3,Chapter
Introduction to PHP Application Security,Building Secure PHP Applications,,,,10.1007/979-8-8688-0932-3_1,Satej Kumar Sahu,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0932-3_1,Chapter
PHP and MySQL Working Together,PHP 8 Basics,,,,10.1007/978-1-4842-8082-9_10,Gunnard EngebrethSatej Kumar Sahu,2023,https://link.springer.com/chapter/10.1007/978-1-4842-8082-9_10,Chapter
"Making (Only) the&#xa0;Right Calls: Preventing Remote Code Execution Attacks in&#xa0;PHP Applications with&#xa0;Contextual, State-Sensitive System Call Filtering","Detection of Intrusions and Malware, and Vulnerability Assessment",,,,10.1007/978-3-031-97620-9_3,Yunsen LeiCraig A. Shue,2025,https://link.springer.com/chapter/10.1007/978-3-031-97620-9_3,Conference paper
Transformers-Based Automated PHP Code Generator,Innovations in Computational Intelligence and Computer Vision,,,,10.1007/978-981-99-2602-2_44,Yatin TomerRaghav SharmaRohit Pandey,2023,https://link.springer.com/chapter/10.1007/978-981-99-2602-2_44,Conference paper
Using Semgrep OSS to&#xa0;Find OWASP Top 10 Weaknesses in&#xa0;PHP Applications: A Case Study,"Detection of Intrusions and Malware, and Vulnerability Assessment",,,,10.1007/978-3-031-64171-8_4,Lukas KreeRené HelmkeEugen Winter,2024,https://link.springer.com/chapter/10.1007/978-3-031-64171-8_4,Conference paper
Reviewing PHP 8 Basic Syntax,PHP 8 for Absolute Beginners,,,,10.1007/978-1-4842-8205-2_5,Jason LengstorfThomas Blom HansenSteve Prettyman,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8205-2_5,Chapter
Understanding PHP: Language Basics,PHP 8 for Absolute Beginners,,,,10.1007/978-1-4842-8205-2_2,Jason LengstorfThomas Blom HansenSteve Prettyman,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8205-2_2,Chapter
