Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Using PHP to Manage Files,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_7,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_7,Chapter
PHP,Tweak Your Mac Terminal,,,,10.1007/978-1-4842-6171-2_6,Daniel Platt,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6171-2_6,Chapter
Useful Tricks and Operations,PHP by Example,,,,10.1007/979-8-8688-0258-4_6,Alex Vasilev,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0258-4_6,Chapter
Data Dashboard and Gaming,PHP 8 for Absolute Beginners,,,,10.1007/978-1-4842-8205-2_10,Jason LengstorfThomas Blom HansenSteve Prettyman,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8205-2_10,Chapter
Pages That Remember: Simple Login and Multipage Forms,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_11,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_11,Chapter
Advanced Features,"PHP 8 Objects, Patterns, and Practice: Volume 1",,,,10.1007/979-8-8688-0482-3_4,Matt Zandstra,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0482-3_4,Chapter
How Do I Input and Output Data?,Learn coding with Python and JavaScript,,,,10.1007/978-3-658-42912-6_12,Joachim L. Zuckarelli,2024,https://link.springer.com/chapter/10.1007/978-3-658-42912-6_12,Chapter
Working with Arrays,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_8,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_8,Chapter
Error Handling,PHP 8 Quick Scripting Reference,,,,10.1007/978-1-4842-6619-9_29,Mikael Olsson,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6619-9_29,Chapter
Visualizing Spatial Data from Access Logs,Pro Data Visualization Using R and JavaScript,,,,10.1007/978-1-4842-7202-2_5,Tom BarkerJon Westfall,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7202-2_5,Chapter
A Brief Introduction to the Use of SAS® Enterprise MinerTM,Conceptual Variable Design for Scorecards,,,,10.1007/979-8-8688-1421-1_11,Saul Rodrigo Alvarez Zapiain,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1421-1_11,Chapter
Using PHP to Manage Files,PHP 7 Solutions,,,,10.1007/978-1-4842-4338-1_7,David Powers,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4338-1_7,Chapter
Server-Side Programming with PHP,Web-Based Projects that Rock the Class,,,,10.1007/978-1-4842-4463-0_2,Christos Karayiannis,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4463-0_2,Chapter
Advanced Features,"PHP 8 Objects, Patterns, and Practice",,,,10.1007/978-1-4842-6791-2_4,Matt Zandstra,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6791-2_4,Chapter
"Config, Cache, Sessions, Filesystems",Pro PHP 8 MVC,,,,10.1007/978-1-4842-6957-2_10,Christopher Pitt,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6957-2_10,Chapter
Basic Concepts of Computer Science,Geoinformatics in Theory and Practice,,,,10.1007/978-3-662-65758-4_3,Norbert de Lange,2023,https://link.springer.com/chapter/10.1007/978-3-662-65758-4_3,Chapter
Handling and Logging Exceptions,Learn PHP 8,,,,10.1007/978-1-4842-6240-5_6,Steve Prettyman,2020,https://link.springer.com/chapter/10.1007/978-1-4842-6240-5_6,Chapter
Data Objects,Learn PHP 8,,,,10.1007/978-1-4842-6240-5_7,Steve Prettyman,2020,https://link.springer.com/chapter/10.1007/978-1-4842-6240-5_7,Chapter
