Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
PHP and MySQL Working Together,PHP 8 Basics,,,,10.1007/978-1-4842-8082-9_10,Gunnard EngebrethSatej Kumar Sahu,2023,https://link.springer.com/chapter/10.1007/978-1-4842-8082-9_10,Chapter
Connecting to a Database with PHP and SQL,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_13,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_13,Chapter
Research on Hazardous Waste Information Management System Based on Internet of Things GIS Technology,Proceedings of the Second International Conference on Artificial Intelligence and Communication Technologies (ICAICT 2024),,,,10.1007/978-981-96-0096-0_34,Hualong CaiJingyao LuoYiyan ZhuangZhijie Pan,2025,https://link.springer.com/chapter/10.1007/978-981-96-0096-0_34,Conference paper
Design and Study of a Management Information System for Engineering Measurement Laboratories,AI Methods and Applications in 3D Technologies,,,,10.1007/978-981-97-2144-3_24,Hualong CaiFenghuan HuangYifeng HuangCaiying Huang,2024,https://link.springer.com/chapter/10.1007/978-981-97-2144-3_24,Conference paper
Exploiting Metadata for Intelligent and Secure JSON REST API Services,Proceedings of World Conference on Information Systems for Business Management,,,,10.1007/978-981-99-8346-9_12,John Yoon,2024,https://link.springer.com/chapter/10.1007/978-981-99-8346-9_12,Conference paper
Data Dashboard and Gaming,PHP 8 for Absolute Beginners,,,,10.1007/978-1-4842-8205-2_10,Jason LengstorfThomas Blom HansenSteve Prettyman,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8205-2_10,Chapter
The Image Gallery,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_8,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_8,Chapter
Creating a Dynamic Photo Gallery,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_14,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_14,Chapter
Pulling Data from Multiple Tables,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_17,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_17,Chapter
Managing Multiple Database Tables,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_18,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_18,Chapter
