Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
PHP on the Command Line,"PHP 8 Objects, Patterns, and Practice: Volume 2",,,,10.1007/979-8-8688-0779-4_11,Matt Zandstra,2025,https://link.springer.com/chapter/10.1007/979-8-8688-0779-4_11,Chapter
Using PHP to Manage Files,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_7,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_7,Chapter
PHP,Tweak Your Mac Terminal,,,,10.1007/978-1-4842-6171-2_6,Daniel Platt,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6171-2_6,Chapter
Object Tools,"PHP 8 Objects, Patterns, and Practice: Volume 1",,,,10.1007/979-8-8688-0482-3_5,Matt Zandstra,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0482-3_5,Chapter
Useful Tricks and Operations,PHP by Example,,,,10.1007/979-8-8688-0258-4_6,Alex Vasilev,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0258-4_6,Chapter
Data Dashboard and Gaming,PHP 8 for Absolute Beginners,,,,10.1007/978-1-4842-8205-2_10,Jason LengstorfThomas Blom HansenSteve Prettyman,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8205-2_10,Chapter
Pages That Remember: Simple Login and Multipage Forms,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_11,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_11,Chapter
Scripting Languages,Apache Essentials,,,,10.1007/978-1-4842-8324-0_4,Darren James Harkness,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8324-0_4,Chapter
How Do I Input and Output Data?,Learn coding with Python and JavaScript,,,,10.1007/978-3-658-42912-6_12,Joachim L. Zuckarelli,2024,https://link.springer.com/chapter/10.1007/978-3-658-42912-6_12,Chapter
Advanced Features,"PHP 8 Objects, Patterns, and Practice: Volume 1",,,,10.1007/979-8-8688-0482-3_4,Matt Zandstra,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0482-3_4,Chapter
Working with Arrays,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_8,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_8,Chapter
Error Handling,PHP 8 Quick Scripting Reference,,,,10.1007/978-1-4842-6619-9_29,Mikael Olsson,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6619-9_29,Chapter
Advanced Web Challenges,Handbook for CTFers,,,,10.1007/978-981-19-0336-6_3,,2022,https://link.springer.com/chapter/10.1007/978-981-19-0336-6_3,Chapter
Visualizing Spatial Data from Access Logs,Pro Data Visualization Using R and JavaScript,,,,10.1007/978-1-4842-7202-2_5,Tom BarkerJon Westfall,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7202-2_5,Chapter
Object Tools,"PHP 8 Objects, Patterns, and Practice",,,,10.1007/978-1-4842-6791-2_5,Matt Zandstra,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6791-2_5,Chapter
Using PHP to Manage Files,PHP 7 Solutions,,,,10.1007/978-1-4842-4338-1_7,David Powers,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4338-1_7,Chapter
Server-Side Programming with PHP,Web-Based Projects that Rock the Class,,,,10.1007/978-1-4842-4463-0_2,Christos Karayiannis,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4463-0_2,Chapter
A Brief Introduction to the Use of SAS® Enterprise MinerTM,Conceptual Variable Design for Scorecards,,,,10.1007/979-8-8688-1421-1_11,Saul Rodrigo Alvarez Zapiain,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1421-1_11,Chapter
Formatting Text and Dates,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_16,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_16,Chapter
Introduction to the Web,Handbook for CTFers,,,,10.1007/978-981-19-0336-6_1,,2022,https://link.springer.com/chapter/10.1007/978-981-19-0336-6_1,Chapter
Advanced Features,"PHP 8 Objects, Patterns, and Practice",,,,10.1007/978-1-4842-6791-2_4,Matt Zandstra,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6791-2_4,Chapter
Basic Concepts of Computer Science,Geoinformatics in Theory and Practice,,,,10.1007/978-3-662-65758-4_3,Norbert de Lange,2023,https://link.springer.com/chapter/10.1007/978-3-662-65758-4_3,Chapter
Enhancing the Feature Profiles of Web Shells by Analyzing the Performance of Multiple Detectors,Advances in Digital Forensics XVI,,,,10.1007/978-3-030-56223-6_4,Weiqing HuangChenggang JiaMin YuKam-Pui ChowJiuming ChenChao LiuJianguo Jiang,2020,https://link.springer.com/chapter/10.1007/978-3-030-56223-6_4,Conference paper
Handling and Logging Exceptions,Learn PHP 8,,,,10.1007/978-1-4842-6240-5_6,Steve Prettyman,2020,https://link.springer.com/chapter/10.1007/978-1-4842-6240-5_6,Chapter
Data Objects,Learn PHP 8,,,,10.1007/978-1-4842-6240-5_7,Steve Prettyman,2020,https://link.springer.com/chapter/10.1007/978-1-4842-6240-5_7,Chapter
PHP Basics,Beginning PHP and MySQL,,,,10.1007/978-1-4302-6044-8_3,Frank M. Kromann,2018,https://link.springer.com/chapter/10.1007/978-1-4302-6044-8_3,Chapter
Secure PHP Programming,Beginning PHP and MySQL,,,,10.1007/978-1-4302-6044-8_19,Frank M. Kromann,2018,https://link.springer.com/chapter/10.1007/978-1-4302-6044-8_19,Chapter
Multifunctional Interfaces,Learn PHP 8,,,,10.1007/978-1-4842-6240-5_9,Steve Prettyman,2020,https://link.springer.com/chapter/10.1007/978-1-4842-6240-5_9,Chapter
Pages That Remember: Simple Login and Multipage Forms,PHP 7 Solutions,,,,10.1007/978-1-4842-4338-1_11,David Powers,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4338-1_11,Chapter
Working with Arrays,PHP 7 Solutions,,,,10.1007/978-1-4842-4338-1_8,David Powers,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4338-1_8,Chapter
Obtaining a Domain Name with DDNS,Web-Based Projects that Rock the Class,,,,10.1007/978-1-4842-4463-0_4,Christos Karayiannis,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4463-0_4,Chapter
The Lighttpd Web Server,Web-Based Projects that Rock the Class,,,,10.1007/978-1-4842-4463-0_5,Christos Karayiannis,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4463-0_5,Chapter
Configuring Your Environment,Beginning PHP and MySQL,,,,10.1007/978-1-4302-6044-8_2,Frank M. Kromann,2018,https://link.springer.com/chapter/10.1007/978-1-4302-6044-8_2,Chapter
Creating a PHP Environment,Programming in HTML and PHP,,,,10.1007/978-3-319-56973-4_4,David R. Brooks,2017,https://link.springer.com/chapter/10.1007/978-3-319-56973-4_4,Chapter
PHP Graphics,Programming in HTML and PHP,,,,10.1007/978-3-319-56973-4_9,David R. Brooks,2017,https://link.springer.com/chapter/10.1007/978-3-319-56973-4_9,Chapter
Working with the File and Operating System,Beginning PHP and MySQL,,,,10.1007/978-1-4302-6044-8_10,Frank M. Kromann,2018,https://link.springer.com/chapter/10.1007/978-1-4302-6044-8_10,Chapter
TCP/IP and Network Programming,Systems Programming in Unix/Linux,,,,10.1007/978-3-319-92429-8_13,K. C. Wang,2018,https://link.springer.com/chapter/10.1007/978-3-319-92429-8_13,Chapter
Forms,Beginning PHP and MySQL,,,,10.1007/978-1-4302-6044-8_13,Frank M. Kromann,2018,https://link.springer.com/chapter/10.1007/978-1-4302-6044-8_13,Chapter
Practical Database Queries,Beginning PHP and MySQL,,,,10.1007/978-1-4302-6044-8_32,Frank M. Kromann,2018,https://link.springer.com/chapter/10.1007/978-1-4302-6044-8_32,Chapter
