Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
PHP on the Command Line,"PHP 8 Objects, Patterns, and Practice: Volume 2",,,,10.1007/979-8-8688-0779-4_11,Matt Zandstra,2025,https://link.springer.com/chapter/10.1007/979-8-8688-0779-4_11,Chapter
"PHP Exceptions, Validation, and Regular Expressions",PHP 8 Basics,,,,10.1007/978-1-4842-8082-9_9,Gunnard EngebrethSatej Kumar Sahu,2023,https://link.springer.com/chapter/10.1007/978-1-4842-8082-9_9,Chapter
PHP: A Quick Reference,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_4,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_4,Chapter
Reviewing PHP 8 Basic Syntax,PHP 8 for Absolute Beginners,,,,10.1007/978-1-4842-8205-2_5,Jason LengstorfThomas Blom HansenSteve Prettyman,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8205-2_5,Chapter
Connecting to a Database with PHP and SQL,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_13,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_13,Chapter
Working with a Database,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_5,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_5,Chapter
Implementing Endpoints and Generating Documentation,API Development with Laravel,,,,10.1007/979-8-8688-1576-8_6,Adegoke Akintoye,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1576-8_6,Chapter
Implementing Webhook and Asynchronous Notifications,API Development with Laravel,,,,10.1007/979-8-8688-1576-8_8,Adegoke Akintoye,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1576-8_8,Chapter
Error Handling,PHP by Example,,,,10.1007/979-8-8688-0258-4_10,Alex Vasilev,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0258-4_10,Chapter
"Crafting Inputs, Outputs, and Operations",Practical PHP APIs with Symfony,,,,10.1007/979-8-8688-2062-5_1,Nacho Colomina Torregrosa,2025,https://link.springer.com/chapter/10.1007/979-8-8688-2062-5_1,Chapter
Context-Specific Operations,Practical PHP APIs with Symfony,,,,10.1007/979-8-8688-2062-5_4,Nacho Colomina Torregrosa,2025,https://link.springer.com/chapter/10.1007/979-8-8688-2062-5_4,Chapter
Advanced Error Handling and Exception Management,Building Real-Time Marvels with Laravel,,,,10.1007/978-1-4842-9789-6_14,Sivaraj Selvaraj,2024,https://link.springer.com/chapter/10.1007/978-1-4842-9789-6_14,Chapter
Laravel and Serverless Computing,Building Real-Time Marvels with Laravel,,,,10.1007/978-1-4842-9789-6_18,Sivaraj Selvaraj,2024,https://link.springer.com/chapter/10.1007/978-1-4842-9789-6_18,Chapter
Advanced Features,"PHP 8 Objects, Patterns, and Practice: Volume 1",,,,10.1007/979-8-8688-0482-3_4,Matt Zandstra,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0482-3_4,Chapter
Generating Thumbnail Images,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_10,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_10,Chapter
Uploading Files,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_9,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_9,Chapter
Advanced WordPress Customization Techniques,Pro WordPress,,,,10.1007/979-8-8688-0971-2_4,Sivaraj Selvaraj,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0971-2_4,Chapter
Testing with PHPUnit,"PHP 8 Objects, Patterns, and Practice: Volume 2",,,,10.1007/979-8-8688-0779-4_7,Matt Zandstra,2025,https://link.springer.com/chapter/10.1007/979-8-8688-0779-4_7,Chapter
Advanced Third-Party Integrations,Building Real-Time Marvels with Laravel,,,,10.1007/978-1-4842-9789-6_22,Sivaraj Selvaraj,2024,https://link.springer.com/chapter/10.1007/978-1-4842-9789-6_22,Chapter
Website with a DB,PHP 8 Basics,,,,10.1007/978-1-4842-8082-9_12,Gunnard EngebrethSatej Kumar Sahu,2023,https://link.springer.com/chapter/10.1007/978-1-4842-8082-9_12,Chapter
"Databases, MVC, and Data Objects",PHP 8 for Absolute Beginners,,,,10.1007/978-1-4842-8205-2_6,Jason LengstorfThomas Blom HansenSteve Prettyman,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8205-2_6,Chapter
Exception Handling,PHP 8 Quick Scripting Reference,,,,10.1007/978-1-4842-6619-9_30,Mikael Olsson,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6619-9_30,Chapter
Authenticating Users with a Database,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_19,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_19,Chapter
Advanced UI/UX Design Patterns for Laravel,Building Real-Time Marvels with Laravel,,,,10.1007/978-1-4842-9789-6_20,Sivaraj Selvaraj,2024,https://link.springer.com/chapter/10.1007/978-1-4842-9789-6_20,Chapter
Development of the Online Geospatial Problem-Solving Instrument: Investigating Elementary Students’ Perceptual Processes in Geospatial Problem-Solving,Re-visioning Geography,,,,10.1007/978-3-031-40747-5_2,Christos Vonapartis KosmidisNikos Lambrinos,2023,https://link.springer.com/chapter/10.1007/978-3-031-40747-5_2,Chapter
Advanced Spring Configuration and Spring Boot,Pro Spring 6,,,,10.1007/978-1-4842-8640-1_4,Iuliana CosminaRob HarropChris SchaeferClarence Ho,2023,https://link.springer.com/chapter/10.1007/978-1-4842-8640-1_4,Chapter
The Basics: PHP 8 Syntax,Learn PHP 8,,,,10.1007/978-1-4842-6240-5_3,Steve Prettyman,2020,https://link.springer.com/chapter/10.1007/978-1-4842-6240-5_3,Chapter
Advanced Spring Configuration and Spring Boot,Pro Spring 6 with Kotlin,,,,10.1007/978-1-4842-9557-1_4,Peter SpäthIuliana CosminaRob HarropChris Schaefer,2023,https://link.springer.com/chapter/10.1007/978-1-4842-9557-1_4,Chapter
Basic Blog: Images and Authentication,PHP 8 for Absolute Beginners,,,,10.1007/978-1-4842-8205-2_9,Jason LengstorfThomas Blom HansenSteve Prettyman,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8205-2_9,Chapter
Managing Multiple Database Tables,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_18,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_18,Chapter
Database Patterns,"PHP 8 Objects, Patterns, and Practice: Volume 1",,,,10.1007/979-8-8688-0482-3_13,Matt Zandstra,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0482-3_13,Chapter
Formatting Text and Dates,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_16,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_16,Chapter
Enterprise Patterns,"PHP 8 Objects, Patterns, and Practice",,,,10.1007/978-1-4842-6791-2_12,Matt Zandstra,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6791-2_12,Chapter
Building the Basic Blog System,PHP 8 for Absolute Beginners,,,,10.1007/978-1-4842-8205-2_7,Jason LengstorfThomas Blom HansenSteve Prettyman,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8205-2_7,Chapter
PHP: A Quick Reference,PHP 7 Solutions,,,,10.1007/978-1-4842-4338-1_4,David Powers,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4338-1_4,Chapter
Connecting to a&#xa0;Database with PHP and SQL,PHP 7 Solutions,,,,10.1007/978-1-4842-4338-1_13,David Powers,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4338-1_13,Chapter
Introduction to the Web,Handbook for CTFers,,,,10.1007/978-981-19-0336-6_1,,2022,https://link.springer.com/chapter/10.1007/978-981-19-0336-6_1,Chapter
Building a Validator,Pro PHP 8 MVC,,,,10.1007/978-1-4842-6957-2_5,Christopher Pitt,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6957-2_5,Chapter
Advanced Features,"PHP 8 Objects, Patterns, and Practice",,,,10.1007/978-1-4842-6791-2_4,Matt Zandstra,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6791-2_4,Chapter
"Queues, Logging, Emails",Pro PHP 8 MVC,,,,10.1007/978-1-4842-6957-2_11,Christopher Pitt,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6957-2_11,Chapter
Handling and Logging Exceptions,Learn PHP 8,,,,10.1007/978-1-4842-6240-5_6,Steve Prettyman,2020,https://link.springer.com/chapter/10.1007/978-1-4842-6240-5_6,Chapter
Testing with PHPUnit,"PHP 8 Objects, Patterns, and Practice",,,,10.1007/978-1-4842-6791-2_18,Matt Zandstra,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6791-2_18,Chapter
"DTOs, Entities, and Value Objects",Domain-Driven Laravel,,,,10.1007/978-1-4842-6023-4_12,Jesse Griffin,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6023-4_12,Chapter
From Zero to Hello World,The Definitive Guide to Jakarta Faces in Jakarta EE 10,,,,10.1007/978-1-4842-7310-4_2,Bauke ScholtzArjan Tijms,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7310-4_2,Chapter
Authentication,Learn PHP 8,,,,10.1007/978-1-4842-6240-5_8,Steve Prettyman,2020,https://link.springer.com/chapter/10.1007/978-1-4842-6240-5_8,Chapter
Database Patterns,"PHP 8 Objects, Patterns, and Practice",,,,10.1007/978-1-4842-6791-2_13,Matt Zandstra,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6791-2_13,Chapter
Generating Thumbnail Images,PHP 7 Solutions,,,,10.1007/978-1-4842-4338-1_10,David Powers,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4338-1_10,Chapter
Multifunctional Interfaces,Learn PHP 8,,,,10.1007/978-1-4842-6240-5_9,Steve Prettyman,2020,https://link.springer.com/chapter/10.1007/978-1-4842-6240-5_9,Chapter
webAppOS: Creating the Illusion of a Single Computer for Web Application Developers,Web Information Systems and Technologies,,,,10.1007/978-3-030-61750-9_1,Sergejs Kozlovičs,2020,https://link.springer.com/chapter/10.1007/978-3-030-61750-9_1,Conference paper
Uploading Files,PHP 7 Solutions,,,,10.1007/978-1-4842-4338-1_9,David Powers,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4338-1_9,Chapter
Managing Multiple Database Tables,PHP 7 Solutions,,,,10.1007/978-1-4842-4338-1_18,David Powers,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4338-1_18,Chapter
Scripting in Java,More Java 17,,,,10.1007/978-1-4842-7135-3_10,Kishori SharanPeter Späth,2021,https://link.springer.com/chapter/10.1007/978-1-4842-7135-3_10,Chapter
PHP Basics,PHP 7 Zend Certification Study Guide,,,,10.1007/978-1-4842-3246-0_1,Andrew Beak,2017,https://link.springer.com/chapter/10.1007/978-1-4842-3246-0_1,Chapter
PHP 7 Basics,PHP Arrays,,,,10.1007/978-1-4842-2556-1_1,Steve Prettyman,2017,https://link.springer.com/chapter/10.1007/978-1-4842-2556-1_1,Chapter
Create Web Pages That Interact with Users,"Practical PHP 7, MySQL 8, and MariaDB Website Databases",,,,10.1007/978-1-4842-3843-1_2,Adrian W. WestSteve Prettyman,2018,https://link.springer.com/chapter/10.1007/978-1-4842-3843-1_2,Chapter
Create a Product Catalog,"Practical PHP 7, MySQL 8, and MariaDB Website Databases",,,,10.1007/978-1-4842-3843-1_8,Adrian W. WestSteve Prettyman,2018,https://link.springer.com/chapter/10.1007/978-1-4842-3843-1_8,Chapter
Add the Finishing Touches: Security and Validation,"Practical PHP 7, MySQL 8, and MariaDB Website Databases",,,,10.1007/978-1-4842-3843-1_6,Adrian W. WestSteve Prettyman,2018,https://link.springer.com/chapter/10.1007/978-1-4842-3843-1_6,Chapter
