Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
PHP Core Security,Building Secure PHP Applications,,,,10.1007/979-8-8688-0932-3_2,Satej Kumar Sahu,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0932-3_2,Chapter
Working with PHP,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_2,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_2,Chapter
Web Security for PHP Applications,Building Secure PHP Applications,,,,10.1007/979-8-8688-0932-3_3,Satej Kumar Sahu,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0932-3_3,Chapter
Building RESTful APIs with Laravel (PHP),Mastering REST APIs,,,,10.1007/979-8-8688-0309-3_5,Sivaraj Selvaraj,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0309-3_5,Chapter
PHP Fundamentals,PHP 8 Basics,,,,10.1007/978-1-4842-8082-9_2,Gunnard EngebrethSatej Kumar Sahu,2023,https://link.springer.com/chapter/10.1007/978-1-4842-8082-9_2,Chapter
Methods to&#xa0;Improve API Performance in&#xa0;PHP Programming Language,"Contributions Presented at The International Conference on Computing, Communication, Cybersecurity and AI, July 3–4, 2024, London, UK",,,,10.1007/978-3-031-74443-3_28,Eugene AlooeffDiana Dvoryak,2024,https://link.springer.com/chapter/10.1007/978-3-031-74443-3_28,Conference paper
PHP and MySQL Working Together,PHP 8 Basics,,,,10.1007/978-1-4842-8082-9_10,Gunnard EngebrethSatej Kumar Sahu,2023,https://link.springer.com/chapter/10.1007/978-1-4842-8082-9_10,Chapter
"Making (Only) the&#xa0;Right Calls: Preventing Remote Code Execution Attacks in&#xa0;PHP Applications with&#xa0;Contextual, State-Sensitive System Call Filtering","Detection of Intrusions and Malware, and Vulnerability Assessment",,,,10.1007/978-3-031-97620-9_3,Yunsen LeiCraig A. Shue,2025,https://link.springer.com/chapter/10.1007/978-3-031-97620-9_3,Conference paper
Using Semgrep OSS to&#xa0;Find OWASP Top 10 Weaknesses in&#xa0;PHP Applications: A Case Study,"Detection of Intrusions and Malware, and Vulnerability Assessment",,,,10.1007/978-3-031-64171-8_4,Lukas KreeRené HelmkeEugen Winter,2024,https://link.springer.com/chapter/10.1007/978-3-031-64171-8_4,Conference paper
Using PHP to Manage Files,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_7,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_7,Chapter
Reviewing PHP 8 Basic Syntax,PHP 8 for Absolute Beginners,,,,10.1007/978-1-4842-8205-2_5,Jason LengstorfThomas Blom HansenSteve Prettyman,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8205-2_5,Chapter
Understanding PHP: Language Basics,PHP 8 for Absolute Beginners,,,,10.1007/978-1-4842-8205-2_2,Jason LengstorfThomas Blom HansenSteve Prettyman,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8205-2_2,Chapter
File Handling,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_7,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_7,Chapter
Connecting to a Database with PHP and SQL,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_13,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_13,Chapter
Building a LAMP Stack: Apache and PHP,Practical Linux DevOps,,,,10.1007/978-1-4842-8318-9_5,John S. Tonello,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8318-9_5,Chapter
Email and Form Processing,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_3,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_3,Chapter
Framework Security,Building Secure PHP Applications,,,,10.1007/979-8-8688-0932-3_4,Satej Kumar Sahu,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0932-3_4,Chapter
Protocol Security,Building Secure PHP Applications,,,,10.1007/979-8-8688-0932-3_6,Satej Kumar Sahu,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0932-3_6,Chapter
White-Box Penetration Testing for Hash Collision Attack on Web Applications,"Security and Information Technologies with AI, Internet Computing and Big-data Applications",,,,10.1007/978-981-97-7786-0_6,Chao-Lung ChouHung-Wei Chiang,2025,https://link.springer.com/chapter/10.1007/978-981-97-7786-0_6,Conference paper
Introduction and Setting Up,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_1,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_1,Chapter
