Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Working with PHP,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_2,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_2,Chapter
Using PHP to Manage Files,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_7,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_7,Chapter
Email and Form Processing,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_3,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_3,Chapter
File Handling,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_7,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_7,Chapter
Object Tools,"PHP 8 Objects, Patterns, and Practice: Volume 1",,,,10.1007/979-8-8688-0482-3_5,Matt Zandstra,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0482-3_5,Chapter
New Features and Updates in Laravel 10,Building Real-Time Marvels with Laravel,,,,10.1007/978-1-4842-9789-6_25,Sivaraj Selvaraj,2024,https://link.springer.com/chapter/10.1007/978-1-4842-9789-6_25,Chapter
A Configuration System,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_11,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_11,Chapter
A Content Management System,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_12,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_12,Chapter
The Image Gallery,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_8,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_8,Chapter
Managing Data,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_9,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_9,Chapter
Working with Arrays,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_8,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_8,Chapter
Uploading Data and Files,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_4,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_4,Chapter
Database Patterns,"PHP 8 Objects, Patterns, and Practice: Volume 1",,,,10.1007/979-8-8688-0482-3_13,Matt Zandstra,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0482-3_13,Chapter
"Crafting Inputs, Outputs, and Operations",Practical PHP APIs with Symfony,,,,10.1007/979-8-8688-2062-5_1,Nacho Colomina Torregrosa,2025,https://link.springer.com/chapter/10.1007/979-8-8688-2062-5_1,Chapter
"Finding Data on the Web, Data Sets, Web Scraping, Web API",Big Data Infrastructure Technologies for Data Analytics,,,,10.1007/978-3-031-69366-3_11,Yuri DemchenkoJuan J. Cuadrado-GallegoOleg ChertovMarharyta Aleksandrova,2024,https://link.springer.com/chapter/10.1007/978-3-031-69366-3_11,Chapter
Code Auditing,Handbook for CTFers,,,,10.1007/978-981-19-0336-6_10,,2022,https://link.springer.com/chapter/10.1007/978-981-19-0336-6_10,Chapter
Managing Multiple Database Tables,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_18,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_18,Chapter
Object Tools,"PHP 8 Objects, Patterns, and Practice",,,,10.1007/978-1-4842-6791-2_5,Matt Zandstra,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6791-2_5,Chapter
Miscellaneous Additions,PHP 8 Revealed,,,,10.1007/978-1-4842-6818-6_13,Gunnard Engebreth,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6818-6_13,Chapter
Bringing Forms to Life,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_6,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_6,Chapter
Formatting Text and Dates,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_16,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_16,Chapter
Using PHP to Manage Files,PHP 7 Solutions,,,,10.1007/978-1-4842-4338-1_7,David Powers,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4338-1_7,Chapter
Enterprise Patterns,"PHP 8 Objects, Patterns, and Practice",,,,10.1007/978-1-4842-6791-2_12,Matt Zandstra,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6791-2_12,Chapter
Calculating Column Values,Getting Started with SQL and Databases,,,,10.1007/978-1-4842-9493-2_5,Mark Simon,2023,https://link.springer.com/chapter/10.1007/978-1-4842-9493-2_5,Chapter
Terrorism in Southern Africa: Portents and Manifestations,Palgrave Handbook of Terrorism in Africa,,,,10.1007/978-3-031-89940-9_19,Anneli Botha,2025,https://link.springer.com/chapter/10.1007/978-3-031-89940-9_19,Chapter
Database Patterns,"PHP 8 Objects, Patterns, and Practice",,,,10.1007/978-1-4842-6791-2_13,Matt Zandstra,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6791-2_13,Chapter
Advanced Web,Handbook for CTFers,,,,10.1007/978-981-19-0336-6_2,,2022,https://link.springer.com/chapter/10.1007/978-981-19-0336-6_2,Chapter
The Riddle of the Models of John Carney’s Sing Street (2016),Screening Contemporary Irish Fiction and Drama,,,,10.1007/978-3-031-04568-4_3,Julieann Veronica Ulin,2022,https://link.springer.com/chapter/10.1007/978-3-031-04568-4_3,Chapter
Post-ITER: DEMO and Fusion Power Plants,The Fairy Tale of Nuclear Fusion,,,,10.1007/978-3-030-64344-7_17,L. J. Reinders,2021,https://link.springer.com/chapter/10.1007/978-3-030-64344-7_17,Chapter
Bringing Forms to Life,PHP 7 Solutions,,,,10.1007/978-1-4842-4338-1_6,David Powers,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4338-1_6,Chapter
Working with Arrays,PHP 7 Solutions,,,,10.1007/978-1-4842-4338-1_8,David Powers,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4338-1_8,Chapter
Managing Multiple Database Tables,PHP 7 Solutions,,,,10.1007/978-1-4842-4338-1_18,David Powers,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4338-1_18,Chapter
Formatting Text and Dates,PHP 7 Solutions,,,,10.1007/978-1-4842-4338-1_16,David Powers,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4338-1_16,Chapter
Malicious Files,Bug Bounty Hunting for Web Security,,,,10.1007/978-1-4842-5391-5_6,Sanjib Sinha,2019,https://link.springer.com/chapter/10.1007/978-1-4842-5391-5_6,Chapter
Networking,Beginning PHP and MySQL,,,,10.1007/978-1-4302-6044-8_16,Frank M. Kromann,2018,https://link.springer.com/chapter/10.1007/978-1-4302-6044-8_16,Chapter
Strings and Regular Expressions,Beginning PHP and MySQL,,,,10.1007/978-1-4302-6044-8_9,Frank M. Kromann,2018,https://link.springer.com/chapter/10.1007/978-1-4302-6044-8_9,Chapter
Stored Routines,Beginning PHP and MySQL,,,,10.1007/978-1-4302-6044-8_29,Frank M. Kromann,2018,https://link.springer.com/chapter/10.1007/978-1-4302-6044-8_29,Chapter
Arrays,PHP 7 Zend Certification Study Guide,,,,10.1007/978-1-4842-3246-0_4,Andrew Beak,2017,https://link.springer.com/chapter/10.1007/978-1-4842-3246-0_4,Chapter
"Input/Output and Functions to Files, Strings, and Arrays",Programming in HTML and PHP,,,,10.1007/978-3-319-56973-4_8,David R. Brooks,2017,https://link.springer.com/chapter/10.1007/978-3-319-56973-4_8,Chapter
The Dependency Inversion Principle,Principles of Package Design,,,,10.1007/978-1-4842-4119-6_5,Matthias Noback,2018,https://link.springer.com/chapter/10.1007/978-1-4842-4119-6_5,Chapter
Strategies for High-Performance Applications,Pro Functional PHP Programming,,,,10.1007/978-1-4842-2958-3_5,Rob Aley,2017,https://link.springer.com/chapter/10.1007/978-1-4842-2958-3_5,Chapter
Using Helper Libraries in Your Application,Pro Functional PHP Programming,,,,10.1007/978-1-4842-2958-3_8,Rob Aley,2017,https://link.springer.com/chapter/10.1007/978-1-4842-2958-3_8,Chapter
Strings,PHP and MySQL Recipes,,,,10.1007/978-1-4842-0605-8_6,Frank M. Kromann,2016,https://link.springer.com/chapter/10.1007/978-1-4842-0605-8_6,Chapter
Regular Expressions,PHP and MySQL Recipes,,,,10.1007/978-1-4842-0605-8_9,Frank M. Kromann,2016,https://link.springer.com/chapter/10.1007/978-1-4842-0605-8_9,Chapter
Functions,PHP and MySQL Recipes,,,,10.1007/978-1-4842-0605-8_11,Frank M. Kromann,2016,https://link.springer.com/chapter/10.1007/978-1-4842-0605-8_11,Chapter
Development Tools,PHP Beyond the Web,,,,10.1007/978-1-4842-2481-6_4,Rob Aley,2016,https://link.springer.com/chapter/10.1007/978-1-4842-2481-6_4,Chapter
Creating and Using Forms,PHP and MySQL Recipes,,,,10.1007/978-1-4842-0605-8_13,Frank M. Kromann,2016,https://link.springer.com/chapter/10.1007/978-1-4842-0605-8_13,Chapter
Understanding and Using the CLI SAPI,PHP CLI,,,,10.1007/978-1-4842-2238-6_3,Rob Aley,2016,https://link.springer.com/chapter/10.1007/978-1-4842-2238-6_3,Chapter
Object Tools,"PHP Objects, Patterns, and Practice",,,,10.1007/978-1-4842-1996-6_5,Matt Zandstra,2016,https://link.springer.com/chapter/10.1007/978-1-4842-1996-6_5,Chapter
Classes and Objects,PHP and MySQL Recipes,,,,10.1007/978-1-4842-0605-8_2,Frank M. Kromann,2016,https://link.springer.com/chapter/10.1007/978-1-4842-0605-8_2,Chapter
Theme Development,PrestaShop Recipes,,,,10.1007/978-1-4842-2574-5_3,Arnaldo Pérez Castaño,2017,https://link.springer.com/chapter/10.1007/978-1-4842-2574-5_3,Chapter
Enterprise Patterns,"PHP Objects, Patterns, and Practice",,,,10.1007/978-1-4842-1996-6_12,Matt Zandstra,2016,https://link.springer.com/chapter/10.1007/978-1-4842-1996-6_12,Chapter
Web Fundamentals,PHP and MySQL Recipes,,,,10.1007/978-1-4842-0605-8_12,Frank M. Kromann,2016,https://link.springer.com/chapter/10.1007/978-1-4842-0605-8_12,Chapter
Data Exchange with JSON,PHP and MySQL Recipes,,,,10.1007/978-1-4842-0605-8_15,Frank M. Kromann,2016,https://link.springer.com/chapter/10.1007/978-1-4842-0605-8_15,Chapter
A Self-Made ORM,PHP Persistence,,,,10.1007/978-1-4842-2559-2_3,Michael Romer,2016,https://link.springer.com/chapter/10.1007/978-1-4842-2559-2_3,Chapter
Using MySQL Databases,PHP and MySQL Recipes,,,,10.1007/978-1-4842-0605-8_16,Frank M. Kromann,2016,https://link.springer.com/chapter/10.1007/978-1-4842-0605-8_16,Chapter
Accessing the Database Using PHP,Make an E-commerce Site in a Weekend,,,,10.1007/978-1-4842-1672-9_3,Bintu Harwani,2015,https://link.springer.com/chapter/10.1007/978-1-4842-1672-9_3,Chapter
Database Patterns,"PHP Objects, Patterns, and Practice",,,,10.1007/978-1-4842-1996-6_13,Matt Zandstra,2016,https://link.springer.com/chapter/10.1007/978-1-4842-1996-6_13,Chapter
Creating Layouts,Beginning Backdrop CMS,,,,10.1007/978-1-4842-1970-6_6,Todd Tomlinson,2016,https://link.springer.com/chapter/10.1007/978-1-4842-1970-6_6,Chapter
PHP in Action: Converting Data between Text Files and Database Tables,Web Programming with PHP and MySQL,,,,10.1007/978-3-319-22659-0_16,Max Bramer,2015,https://link.springer.com/chapter/10.1007/978-3-319-22659-0_16,Chapter
Using PHP to Manage Files,PHP Solutions,,,,10.1007/978-1-4842-0635-5_7,David Powers,2014,https://link.springer.com/chapter/10.1007/978-1-4842-0635-5_7,Chapter
More About Arrays,Web Programming with PHP and MySQL,,,,10.1007/978-3-319-22659-0_4,Max Bramer,2015,https://link.springer.com/chapter/10.1007/978-3-319-22659-0_4,Chapter
Using Files,Web Programming with PHP and MySQL,,,,10.1007/978-3-319-22659-0_7,Max Bramer,2015,https://link.springer.com/chapter/10.1007/978-3-319-22659-0_7,Chapter
Porting Drupal Themes,Migrating from Drupal to Backdrop,,,,10.1007/978-1-4842-1760-3_6,Todd Tomlinson,2015,https://link.springer.com/chapter/10.1007/978-1-4842-1760-3_6,Chapter
Building an Application with Neo4j,Beginning Neo4j,,,,10.1007/978-1-4842-1227-1_8,Chris Kemper,2015,https://link.springer.com/chapter/10.1007/978-1-4842-1227-1_8,Chapter
Preparing for and Responding to Collapse,The Collapse of North Korea,,,,10.1057/978-1-137-59801-1_5,Tara O,2016,https://link.springer.com/chapter/10.1057/978-1-137-59801-1_5,Chapter
Creating Layouts,Migrating from Drupal to Backdrop,,,,10.1007/978-1-4842-1760-3_7,Todd Tomlinson,2015,https://link.springer.com/chapter/10.1007/978-1-4842-1760-3_7,Chapter
