Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Managing Multiple Database Tables,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_18,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_18,Chapter
Managing Multiple Database Tables,PHP 7 Solutions,,,,10.1007/978-1-4842-4338-1_18,David Powers,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4338-1_18,Chapter
Using MySQL Databases,PHP and MySQL Recipes,,,,10.1007/978-1-4842-0605-8_16,Frank M. Kromann,2016,https://link.springer.com/chapter/10.1007/978-1-4842-0605-8_16,Chapter
Managing Multiple Database Tables,PHP Solutions,,,,10.1007/978-1-4842-0635-5_16,David Powers,2014,https://link.springer.com/chapter/10.1007/978-1-4842-0635-5_16,Chapter
Application Structure,Expert PHP and MySQL,,,,10.1007/978-1-4302-6008-0_5,Marc Rochkind,2013,https://link.springer.com/chapter/10.1007/978-1-4302-6008-0_5,Chapter
Plugin Development,Pro WordPress Theme Development,,,,10.1007/978-1-4302-5915-2_13,Adam Onishi,2013,https://link.springer.com/chapter/10.1007/978-1-4302-5915-2_13,Chapter
Databases,Pro PHP MVC,,,,10.1007/978-1-4302-4165-2_9,Chris Pitt,2012,https://link.springer.com/chapter/10.1007/978-1-4302-4165-2_9,Chapter
Research on Audit System Based on PHP with Analysis of Scientific Materials,"Advances in Computer Science, Environment, Ecoinformatics, and Education",,,,10.1007/978-3-642-23357-9_57,Qingxiu WuJun OuLiang MaYun PeiMin Chen,2011,https://link.springer.com/chapter/10.1007/978-3-642-23357-9_57,Conference paper
Managing Multiple Database Tables,PHP Solutions,,,,10.1007/978-1-4302-3250-6_16,David Powers,2010,https://link.springer.com/chapter/10.1007/978-1-4302-3250-6_16,Chapter
Safe Execution of System and Remote Procedure Calls,Pro PHP Security,,,,10.1007/978-1-4302-3319-0_12,Chris SnyderThomas MyerMichael Southwell,2010,https://link.springer.com/chapter/10.1007/978-1-4302-3319-0_12,Chapter
Working with Databases,Pro Drupal Development,,,,10.1007/978-1-4302-0990-4_5,John K. VanDyk,2008,https://link.springer.com/chapter/10.1007/978-1-4302-0990-4_5,Chapter
Solutions to Common PHP/Mysql Problems,PHP Solutions: Dynamic Web Design Made Easy,,,,10.1007/978-1-4302-0275-2_14,,2006,https://link.springer.com/chapter/10.1007/978-1-4302-0275-2_14,Chapter
PHP,The Definitive Guide to MySQL5,,,,10.1007/978-1-4302-0071-0_15,,2005,https://link.springer.com/chapter/10.1007/978-1-4302-0071-0_15,Chapter
API Reference,The Definitive Guide to MySQL5,,,,10.1007/978-1-4302-0071-0_23,,2005,https://link.springer.com/chapter/10.1007/978-1-4302-0071-0_23,Chapter
Troubleshooting,Pro MySQL,,,,10.1007/978-1-4302-0048-2_20,,2005,https://link.springer.com/chapter/10.1007/978-1-4302-0048-2_20,Chapter
SQL Reference,The Definitive Guide to MySQL5,,,,10.1007/978-1-4302-0071-0_21,,2005,https://link.springer.com/chapter/10.1007/978-1-4302-0071-0_21,Chapter
MySQL Programming,Beginning MySQL Database Design and Optimization,,,,10.1007/978-1-4302-0729-0_7,Jon StephensChad Russell,2004,https://link.springer.com/chapter/10.1007/978-1-4302-0729-0_7,Chapter
Administration and Server Configuration,The Definitive Guide to MySQL,,,,10.1007/978-1-4302-0669-9_10,Michael Kofler,2004,https://link.springer.com/chapter/10.1007/978-1-4302-0669-9_10,Chapter
SQL Reference,The Definitive Guide to MySQL,,,,10.1007/978-1-4302-0669-9_18,Michael Kofler,2004,https://link.springer.com/chapter/10.1007/978-1-4302-0669-9_18,Chapter
