Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Using PHP,PHP by Example,,,,10.1007/979-8-8688-0258-4_12,Alex Vasilev,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0258-4_12,Chapter
PHP on the Command Line,"PHP 8 Objects, Patterns, and Practice: Volume 2",,,,10.1007/979-8-8688-0779-4_11,Matt Zandstra,2025,https://link.springer.com/chapter/10.1007/979-8-8688-0779-4_11,Chapter
Working with PHP,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_2,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_2,Chapter
PHP Core Security,Building Secure PHP Applications,,,,10.1007/979-8-8688-0932-3_2,Satej Kumar Sahu,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0932-3_2,Chapter
Web Security for PHP Applications,Building Secure PHP Applications,,,,10.1007/979-8-8688-0932-3_3,Satej Kumar Sahu,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0932-3_3,Chapter
Understanding PHP: Language Basics,PHP 8 for Absolute Beginners,,,,10.1007/978-1-4842-8205-2_2,Jason LengstorfThomas Blom HansenSteve Prettyman,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8205-2_2,Chapter
PHP: A Quick Reference,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_4,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_4,Chapter
File Handling,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_7,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_7,Chapter
Connecting to a Database with PHP and SQL,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_13,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_13,Chapter
Using PHP to Manage Files,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_7,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_7,Chapter
Email and Form Processing,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_3,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_3,Chapter
PHP,Tweak Your Mac Terminal,,,,10.1007/978-1-4842-6171-2_6,Daniel Platt,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6171-2_6,Chapter
Classes and Objects,PHP by Example,,,,10.1007/979-8-8688-0258-4_7,Alex Vasilev,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0258-4_7,Chapter
Form Data,PHP 8 Basics,,,,10.1007/978-1-4842-8082-9_5,Gunnard EngebrethSatej Kumar Sahu,2023,https://link.springer.com/chapter/10.1007/978-1-4842-8082-9_5,Chapter
Enterprise Patterns,"PHP 8 Objects, Patterns, and Practice: Volume 1",,,,10.1007/979-8-8688-0482-3_12,Matt Zandstra,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0482-3_12,Chapter
Sessions and Cookies,PHP 8 Basics,,,,10.1007/978-1-4842-8082-9_7,Gunnard EngebrethSatej Kumar Sahu,2023,https://link.springer.com/chapter/10.1007/978-1-4842-8082-9_7,Chapter
Implementing The Authentication System and Dashboard,API Development with Laravel,,,,10.1007/979-8-8688-1576-8_5,Adegoke Akintoye,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1576-8_5,Chapter
Managing Data,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_9,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_9,Chapter
A Content Management System,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_12,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_12,Chapter
Data and Data Types,PHP 8 Basics,,,,10.1007/978-1-4842-8082-9_4,Gunnard EngebrethSatej Kumar Sahu,2023,https://link.springer.com/chapter/10.1007/978-1-4842-8082-9_4,Chapter
A Configuration System,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_11,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_11,Chapter
Implementing Endpoints and Generating Documentation,API Development with Laravel,,,,10.1007/979-8-8688-1576-8_6,Adegoke Akintoye,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1576-8_6,Chapter
Sessions and Logging In,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_10,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_10,Chapter
Testing with PHPUnit,"PHP 8 Objects, Patterns, and Practice: Volume 2",,,,10.1007/979-8-8688-0779-4_7,Matt Zandstra,2025,https://link.springer.com/chapter/10.1007/979-8-8688-0779-4_7,Chapter
Object Tools,"PHP 8 Objects, Patterns, and Practice: Volume 1",,,,10.1007/979-8-8688-0482-3_5,Matt Zandstra,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0482-3_5,Chapter
Uploading Data and Files,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_4,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_4,Chapter
Develop a&#xa0;System to&#xa0;Analyze Logs of&#xa0;a&#xa0;Given System Using Machine Learning,"Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing",,,,10.1007/978-3-031-56388-1_1,Md. Tarek HasanFarzana SadiaMahady HasanM. Rokonuzzaman,2024,https://link.springer.com/chapter/10.1007/978-3-031-56388-1_1,Chapter
Generating Objects,"PHP 8 Objects, Patterns, and Practice: Volume 1",,,,10.1007/979-8-8688-0482-3_9,Matt Zandstra,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0482-3_9,Chapter
Pages That Remember: Simple Login and Multipage Forms,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_11,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_11,Chapter
WordPress Customization Fundamentals,Pro WordPress,,,,10.1007/979-8-8688-0971-2_3,Sivaraj Selvaraj,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0971-2_3,Chapter
Data Dashboard and Gaming,PHP 8 for Absolute Beginners,,,,10.1007/978-1-4842-8205-2_10,Jason LengstorfThomas Blom HansenSteve Prettyman,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8205-2_10,Chapter
Form Management,PHP 8 for Absolute Beginners,,,,10.1007/978-1-4842-8205-2_3,Jason LengstorfThomas Blom HansenSteve Prettyman,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8205-2_3,Chapter
Lightening Your Workload with Includes,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_5,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_5,Chapter
