Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
PHP Core Security,Building Secure PHP Applications,,,,10.1007/979-8-8688-0932-3_2,Satej Kumar Sahu,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0932-3_2,Chapter
PHP and MySQL Working Together,PHP 8 Basics,,,,10.1007/978-1-4842-8082-9_10,Gunnard EngebrethSatej Kumar Sahu,2023,https://link.springer.com/chapter/10.1007/978-1-4842-8082-9_10,Chapter
Connecting to a Database with PHP and SQL,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_13,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_13,Chapter
Getting Ready to Work with PHP,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_2,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_2,Chapter
Housing Society Management System Using PHP,Computer Networks and Inventive Communication Technologies,,,,10.1007/978-981-19-3035-5_21,V. HarshT. ShubhamD. RiteshR. Mansing,2023,https://link.springer.com/chapter/10.1007/978-981-19-3035-5_21,Conference paper
Security Standards and Best Practices,Building Secure PHP Applications,,,,10.1007/979-8-8688-0932-3_5,Satej Kumar Sahu,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0932-3_5,Chapter
A Framework for Users Log and Activities Monitoring the IoT Blueprint Era,Smart Infrastructures in the IoT Era,,,,10.1007/978-3-031-72509-8_97,Sarumi Usman AbidemiCliford Peter MlimwaOlusolade Aribake FadareOdunlami EriOluwaSinem AlturjmanFadi Al-Turjman,2025,https://link.springer.com/chapter/10.1007/978-3-031-72509-8_97,Chapter
Sessions and Cookies,PHP 8 Basics,,,,10.1007/978-1-4842-8082-9_7,Gunnard EngebrethSatej Kumar Sahu,2023,https://link.springer.com/chapter/10.1007/978-1-4842-8082-9_7,Chapter
Scripting Languages,Apache Essentials,,,,10.1007/978-1-4842-8324-0_4,Darren James Harkness,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8324-0_4,Chapter
Research on Hazardous Waste Information Management System Based on Internet of Things GIS Technology,Proceedings of the Second International Conference on Artificial Intelligence and Communication Technologies (ICAICT 2024),,,,10.1007/978-981-96-0096-0_34,Hualong CaiJingyao LuoYiyan ZhuangZhijie Pan,2025,https://link.springer.com/chapter/10.1007/978-981-96-0096-0_34,Conference paper
A Web-Based Application for Assessing Pedestrian Physical Safety and Comfort in Urban Streets,Proceedings of the 4th International Conference on Advances in Communication Technology and Computer Engineering (ICACTCE’24),,,,10.1007/978-3-031-94620-2_40,Ahranyakumari KumaraguruparanMohamed Fazil Mohamed FirdhousJanaka WijesundaraGamini Weerasinghe,2025,https://link.springer.com/chapter/10.1007/978-3-031-94620-2_40,Conference paper
Installing MariaDB and Creating a Simple Web Application,Practical Linux DevOps,,,,10.1007/978-1-4842-8318-9_6,John S. Tonello,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8318-9_6,Chapter
Exploiting Metadata for Intelligent and Secure JSON REST API Services,Proceedings of World Conference on Information Systems for Business Management,,,,10.1007/978-981-99-8346-9_12,John Yoon,2024,https://link.springer.com/chapter/10.1007/978-981-99-8346-9_12,Conference paper
Some Pattern Principles,"PHP 8 Objects, Patterns, and Practice: Volume 1",,,,10.1007/979-8-8688-0482-3_8,Matt Zandstra,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0482-3_8,Chapter
Security Aspects of Digital Identity,Recent Challenges in Intelligent Information and Database Systems,,,,10.1007/978-981-97-5937-8_1,Zoltán BaloghJan FrancistiMarek Hrabčák,2024,https://link.springer.com/chapter/10.1007/978-981-97-5937-8_1,Conference paper
Managing Content,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_15,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_15,Chapter
Authenticating Users with a Database,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_19,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_19,Chapter
Managing Multiple Database Tables,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_18,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_18,Chapter
Creating a Dynamic Photo Gallery,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_14,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_14,Chapter
Pulling Data from Multiple Tables,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_17,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_17,Chapter
IoT-Enabled Entry in COVID Situation for Corporate Environments,Data Engineering and Communication Technology,,,,10.1007/978-981-16-0081-4_21,Abhishek SinghAnil Kumar Sahu,2021,https://link.springer.com/chapter/10.1007/978-981-16-0081-4_21,Conference paper
"A Comprehensive Study on SQL Injection Attacks, Their Mode, Detection and Prevention",Proceedings of Second Doctoral Symposium on Computational Intelligence,,,,10.1007/978-981-16-3346-1_50,Sabyasachi DasmohapatraSushree Bibhuprada B. Priyadarshini,2022,https://link.springer.com/chapter/10.1007/978-981-16-3346-1_50,Conference paper
Connecting to a&#xa0;Database with PHP and SQL,PHP 7 Solutions,,,,10.1007/978-1-4842-4338-1_13,David Powers,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4338-1_13,Chapter
Recent Techniques Supporting Vulnerabilities Management for Secure Online Apps,Advances in Cybersecurity Management,,,,10.1007/978-3-030-71381-2_12,Tun Myat AungNi Ni Hla,2021,https://link.springer.com/chapter/10.1007/978-3-030-71381-2_12,Chapter
Smart Farming System Using IoT and Cloud,Computer Networks and Inventive Communication Technologies,,,,10.1007/978-981-16-3728-5_16,Neha PatilVaishali D. Khairnar,2022,https://link.springer.com/chapter/10.1007/978-981-16-3728-5_16,Conference paper
PHP,Cyber Operations,,,,10.1007/978-1-4842-4294-0_20,Mike O’Leary,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4294-0_20,Chapter
BumpChat: A Secure Mobile Communication System,"Advances in Security, Networks, and Internet of Things",,,,10.1007/978-3-030-71017-0_52,Brian KammouriehNahid Ebrahimi MajdAhmad Hadaegh,2021,https://link.springer.com/chapter/10.1007/978-3-030-71017-0_52,Conference paper
Building of Virtual Multidocuments Mapping to Real Sources of Data in Situation-Oriented Databases,Modern Information Technology and IT Education,,,,10.1007/978-3-030-78273-3_17,Valery MironovArtem GusarenkoNafisa Yusupova,2021,https://link.springer.com/chapter/10.1007/978-3-030-78273-3_17,Conference paper
Formatting Text and Dates,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_16,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_16,Chapter
Getting Ready to Work with PHP,PHP 7 Solutions,,,,10.1007/978-1-4842-4338-1_2,David Powers,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4338-1_2,Chapter
Functions,PHP 8 Quick Scripting Reference,,,,10.1007/978-1-4842-6619-9_8,Mikael Olsson,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6619-9_8,Chapter
Basics of Server Software Administration,Set Up and Manage Your Virtual Private Server,,,,10.1007/978-1-4842-6966-4_7,Jon Westfall,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6966-4_7,Chapter
Some Pattern Principles,"PHP 8 Objects, Patterns, and Practice",,,,10.1007/978-1-4842-6791-2_8,Matt Zandstra,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6791-2_8,Chapter
Data Objects,Learn PHP 8,,,,10.1007/978-1-4842-6240-5_7,Steve Prettyman,2020,https://link.springer.com/chapter/10.1007/978-1-4842-6240-5_7,Chapter
Authentication,Learn PHP 8,,,,10.1007/978-1-4842-6240-5_8,Steve Prettyman,2020,https://link.springer.com/chapter/10.1007/978-1-4842-6240-5_8,Chapter
Using PHP with MySQL,Beginning PHP and MySQL,,,,10.1007/978-1-4302-6044-8_27,Frank M. Kromann,2018,https://link.springer.com/chapter/10.1007/978-1-4302-6044-8_27,Chapter
Web Applications,Cyber Operations,,,,10.1007/978-1-4842-4294-0_21,Mike O’Leary,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4294-0_21,Chapter
GuruWS: A Hybrid Platform for Detecting Malicious Web Shells and Web Application Vulnerabilities,Transactions on Computational Collective Intelligence XXXII,,,,10.1007/978-3-662-58611-2_5,Van-Giap LeHuu-Tung NguyenDuy-Phuc PhamVan-On PhungNgoc-Hoa Nguyen,2019,https://link.springer.com/chapter/10.1007/978-3-662-58611-2_5,Chapter
