Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
PHP: A Quick Reference,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_4,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_4,Chapter
The Image Gallery,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_8,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_8,Chapter
Lightening Your Workload with Includes,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_5,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_5,Chapter
Generating Thumbnail Images,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_10,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_10,Chapter
Uploading Files,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_9,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_9,Chapter
Eigenvalues as Quasiparticles,Pseudo-Hermitian Random Matrices,,,,10.1007/978-3-031-60294-8_14,Mauricio Porto Pato,2024,https://link.springer.com/chapter/10.1007/978-3-031-60294-8_14,Chapter
Variable Testing,PHP 8 Quick Scripting Reference,,,,10.1007/978-1-4842-6619-9_20,Mikael Olsson,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6619-9_20,Chapter
Managing Data,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_9,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_9,Chapter
"Surface-Tension Related Flows in&#xa0;Microgravity and&#xa0;Microscale: Hanging Droplet, Thin Films, and&#xa0;Positive Surface Tension Temperature Coefficient (Self-rewetting Fluids)",Thermocapillary Convection in Microgravity,,,,10.1007/978-981-96-2991-6_8,Ichiro UenoSuguru ShiratoriAnselmo CecereRaffaele SavinoYoshiyuki Abe,2025,https://link.springer.com/chapter/10.1007/978-981-96-2991-6_8,Chapter
A Content Management System,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_12,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_12,Chapter
Advanced Features,"PHP 8 Objects, Patterns, and Practice: Volume 1",,,,10.1007/979-8-8688-0482-3_4,Matt Zandstra,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0482-3_4,Chapter
Effect of Linearly Varying Diameter on Thermo-Hydrodynamics of Two-Phase Closed Thermosyphon,Advances in Fluid and Thermal Engineering,,,,10.1007/978-981-99-2382-3_6,Shubham JainRahul JoshiBasant Singh Sikarwar,2023,https://link.springer.com/chapter/10.1007/978-981-99-2382-3_6,Conference paper
Project: An Introduction to Ajax,JavaScript for Web Developers,,,,10.1007/978-1-4842-9774-2_10,Mark Simon,2023,https://link.springer.com/chapter/10.1007/978-1-4842-9774-2_10,Chapter
"Merleau-Ponty, Maurice (1908–1961)",Encyclopedia of Phenomenology,,,,10.1007/978-3-030-47253-5_54-1,David Morris,2025,https://link.springer.com/rwe/10.1007/978-3-030-47253-5_54-1,Living reference work entry
Ayóm-Ayómic Political Order: A Case from the Southern Philippines,Peacebuilding and Memory in the Philippines,,,,10.1007/978-3-031-90375-5_4,Primitivo III Cabanes Ragandang,2025,https://link.springer.com/chapter/10.1007/978-3-031-90375-5_4,Chapter
