Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Connecting to a Database with PHP and SQL,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_13,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_13,Chapter
Research on Hazardous Waste Information Management System Based on Internet of Things GIS Technology,Proceedings of the Second International Conference on Artificial Intelligence and Communication Technologies (ICAICT 2024),,,,10.1007/978-981-96-0096-0_34,Hualong CaiJingyao LuoYiyan ZhuangZhijie Pan,2025,https://link.springer.com/chapter/10.1007/978-981-96-0096-0_34,Conference paper
Authenticating Users with a Database,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_19,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_19,Chapter
Managing Multiple Database Tables,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_18,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_18,Chapter
Creating a Dynamic Photo Gallery,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_14,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_14,Chapter
Connecting to a&#xa0;Database with PHP and SQL,PHP 7 Solutions,,,,10.1007/978-1-4842-4338-1_13,David Powers,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4338-1_13,Chapter
Using PHP with MySQL,Beginning PHP and MySQL,,,,10.1007/978-1-4302-6044-8_27,Frank M. Kromann,2018,https://link.springer.com/chapter/10.1007/978-1-4302-6044-8_27,Chapter
Authenticating Users with a Database,PHP 7 Solutions,,,,10.1007/978-1-4842-4338-1_19,David Powers,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4338-1_19,Chapter
Managing Multiple Database Tables,PHP 7 Solutions,,,,10.1007/978-1-4842-4338-1_18,David Powers,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4338-1_18,Chapter
Creating a Dynamic Photo Gallery,PHP 7 Solutions,,,,10.1007/978-1-4842-4338-1_14,David Powers,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4338-1_14,Chapter
Indexes and Searching,Beginning PHP and MySQL,,,,10.1007/978-1-4302-6044-8_33,Frank M. Kromann,2018,https://link.springer.com/chapter/10.1007/978-1-4302-6044-8_33,Chapter
Session Handlers,Beginning PHP and MySQL,,,,10.1007/978-1-4302-6044-8_17,Frank M. Kromann,2018,https://link.springer.com/chapter/10.1007/978-1-4302-6044-8_17,Chapter
Authenticating Your Users,Beginning PHP and MySQL,,,,10.1007/978-1-4302-6044-8_14,Frank M. Kromann,2018,https://link.springer.com/chapter/10.1007/978-1-4302-6044-8_14,Chapter
IoT Patterns: Web Apps,Building Arduino Projects for the Internet of Things,,,,10.1007/978-1-4842-1940-9_8,Adeel Javed,2016,https://link.springer.com/chapter/10.1007/978-1-4842-1940-9_8,Chapter
IoT Patterns: Location Aware,Building Arduino Projects for the Internet of Things,,,,10.1007/978-1-4842-1940-9_9,Adeel Javed,2016,https://link.springer.com/chapter/10.1007/978-1-4842-1940-9_9,Chapter
IoT Patterns: On-Demand Clients,Building Arduino Projects for the Internet of Things,,,,10.1007/978-1-4842-1940-9_7,Adeel Javed,2016,https://link.springer.com/chapter/10.1007/978-1-4842-1940-9_7,Chapter
Connecting to a Database with PHP and SQL,PHP Solutions,,,,10.1007/978-1-4842-0635-5_11,David Powers,2014,https://link.springer.com/chapter/10.1007/978-1-4842-0635-5_11,Chapter
Authenticating Users with a Database,PHP Solutions,,,,10.1007/978-1-4842-0635-5_17,David Powers,2014,https://link.springer.com/chapter/10.1007/978-1-4842-0635-5_17,Chapter
Managing Multiple Database Tables,PHP Solutions,,,,10.1007/978-1-4842-0635-5_16,David Powers,2014,https://link.springer.com/chapter/10.1007/978-1-4842-0635-5_16,Chapter
Creating a Dynamic Photo Gallery,PHP Solutions,,,,10.1007/978-1-4842-0635-5_12,David Powers,2014,https://link.springer.com/chapter/10.1007/978-1-4842-0635-5_12,Chapter
Key Concepts,Troubleshooting Oracle Performance,,,,10.1007/978-1-4302-5759-2_2,Christian Antognini,2014,https://link.springer.com/chapter/10.1007/978-1-4302-5759-2_2,Chapter
Beyond Data Access and Join Optimization,Troubleshooting Oracle Performance,,,,10.1007/978-1-4302-5759-2_15,Christian Antognini,2014,https://link.springer.com/chapter/10.1007/978-1-4302-5759-2_15,Chapter
Databases,Pro PHP MVC,,,,10.1007/978-1-4302-4165-2_9,Chris Pitt,2012,https://link.springer.com/chapter/10.1007/978-1-4302-4165-2_9,Chapter
