Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Working with PHP,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_2,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_2,Chapter
Understanding PHP: Language Basics,PHP 8 for Absolute Beginners,,,,10.1007/978-1-4842-8205-2_2,Jason LengstorfThomas Blom HansenSteve Prettyman,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8205-2_2,Chapter
How to Write PHP Scripts,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_3,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_3,Chapter
Connecting to a Database with PHP and SQL,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_13,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_13,Chapter
Email and Form Processing,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_3,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_3,Chapter
Framework Security,Building Secure PHP Applications,,,,10.1007/979-8-8688-0932-3_4,Satej Kumar Sahu,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0932-3_4,Chapter
Sessions and Cookies,PHP 8 Basics,,,,10.1007/978-1-4842-8082-9_7,Gunnard EngebrethSatej Kumar Sahu,2023,https://link.springer.com/chapter/10.1007/978-1-4842-8082-9_7,Chapter
Rules-Based Query Conversion for Cypher Query Language (Case Study: Cultural Heritage of Myanmar),Intelligent Sustainable Systems,,,,10.1007/978-981-97-9559-8_31,Nang Nandar TunNyo Nyo Yee,2025,https://link.springer.com/chapter/10.1007/978-981-97-9559-8_31,Conference paper
An Online Bookstore Design and Implementation,"Image Processing, Computer Vision, and Pattern Recognition and Information and Knowledge Engineering",,,,10.1007/978-3-031-85933-5_21,Jacob WilsonZizhong John Wang,2025,https://link.springer.com/chapter/10.1007/978-3-031-85933-5_21,Conference paper
"Contribution of a Web-Based GIS to Groundwater Resource Management: The Sminja–Oued Rmel Aquifer System in the Zaghouan Region, Tunisia","Artificial Intelligence and Data Analytics for Innovative Applications in Engineering, Sustainability and Technology",,,,10.1007/978-3-031-90318-2_14,Hela SmiriSonia GannouniNoamen Rebai,2025,https://link.springer.com/chapter/10.1007/978-3-031-90318-2_14,Chapter
Implementing The Authentication System and Dashboard,API Development with Laravel,,,,10.1007/979-8-8688-1576-8_5,Adegoke Akintoye,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1576-8_5,Chapter
Implementing Endpoints and Generating Documentation,API Development with Laravel,,,,10.1007/979-8-8688-1576-8_6,Adegoke Akintoye,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1576-8_6,Chapter
