Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
PHP Core Security,Building Secure PHP Applications,,,,10.1007/979-8-8688-0932-3_2,Satej Kumar Sahu,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0932-3_2,Chapter
"PHP Exceptions, Validation, and Regular Expressions",PHP 8 Basics,,,,10.1007/978-1-4842-8082-9_9,Gunnard EngebrethSatej Kumar Sahu,2023,https://link.springer.com/chapter/10.1007/978-1-4842-8082-9_9,Chapter
Following the&#xa0;Obfuscation Trail: Identifying and&#xa0;Exploiting Obfuscation Signatures in&#xa0;Malicious Code,Foundations and Practice of Security,,,,10.1007/978-3-031-57537-2_20,Julien CassagneEttore MerloGuy-Vincent JourdanIosif-Viorel Onut,2024,https://link.springer.com/chapter/10.1007/978-3-031-57537-2_20,Conference paper
Code Auditing,Handbook for CTFers,,,,10.1007/978-981-19-0336-6_10,,2022,https://link.springer.com/chapter/10.1007/978-981-19-0336-6_10,Chapter
Formatting Text and Dates,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_16,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_16,Chapter
Regular Matching with Constraint Programming,Challenges of Software Verification,,,,10.1007/978-981-19-9601-6_10,Roberto AmadiniMaurizio Gabbrielli,2023,https://link.springer.com/chapter/10.1007/978-981-19-9601-6_10,Chapter
Building a Router,Pro PHP 8 MVC,,,,10.1007/978-1-4842-6957-2_3,Christopher Pitt,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6957-2_3,Chapter
Authentication,Learn PHP 8,,,,10.1007/978-1-4842-6240-5_8,Steve Prettyman,2020,https://link.springer.com/chapter/10.1007/978-1-4842-6240-5_8,Chapter
Difficult XSS Code Patterns for Static Code Analysis Tools,Computer Security,,,,10.1007/978-3-030-42051-2_9,Felix SchuckertBasel KattHanno Langweg,2020,https://link.springer.com/chapter/10.1007/978-3-030-42051-2_9,Conference paper
Data Objects,Learn PHP 8,,,,10.1007/978-1-4842-6240-5_7,Steve Prettyman,2020,https://link.springer.com/chapter/10.1007/978-1-4842-6240-5_7,Chapter
