Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
PHP Core Security,Building Secure PHP Applications,,,,10.1007/979-8-8688-0932-3_2,Satej Kumar Sahu,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0932-3_2,Chapter
Working with PHP,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_2,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_2,Chapter
Web Security for PHP Applications,Building Secure PHP Applications,,,,10.1007/979-8-8688-0932-3_3,Satej Kumar Sahu,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0932-3_3,Chapter
PHP and MySQL Working Together,PHP 8 Basics,,,,10.1007/978-1-4842-8082-9_10,Gunnard EngebrethSatej Kumar Sahu,2023,https://link.springer.com/chapter/10.1007/978-1-4842-8082-9_10,Chapter
Methods to&#xa0;Improve API Performance in&#xa0;PHP Programming Language,"Contributions Presented at The International Conference on Computing, Communication, Cybersecurity and AI, July 3–4, 2024, London, UK",,,,10.1007/978-3-031-74443-3_28,Eugene AlooeffDiana Dvoryak,2024,https://link.springer.com/chapter/10.1007/978-3-031-74443-3_28,Conference paper
Comparative Study of CeO2 Nanofluid and Water on Thermal Performance of PHP at Different Evacuation Pressure,"Proceedings of Fluid Mechanics and Fluid Power (FMFP) 2023, Vol. 5",,,,10.1007/978-981-97-7759-4_32,Harsh Kumar RaiM. MadhuriN. P. Yadav,2025,https://link.springer.com/chapter/10.1007/978-981-97-7759-4_32,Conference paper
Understanding PHP: Language Basics,PHP 8 for Absolute Beginners,,,,10.1007/978-1-4842-8205-2_2,Jason LengstorfThomas Blom HansenSteve Prettyman,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8205-2_2,Chapter
Connecting to a Database with PHP and SQL,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_13,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_13,Chapter
Building a LAMP Stack: Apache and PHP,Practical Linux DevOps,,,,10.1007/978-1-4842-8318-9_5,John S. Tonello,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8318-9_5,Chapter
File Handling,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_7,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_7,Chapter
Incident Response and Security Monitoring,Building Secure PHP Applications,,,,10.1007/979-8-8688-0932-3_7,Satej Kumar Sahu,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0932-3_7,Chapter
Working with a Database,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_5,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_5,Chapter
Family Involvement in DBT for Adolescents Within a Partial Hospitalization Program Setting,Enhancing CBT Through Family and Peer Engagement,,,,10.1007/978-3-031-74838-7_11,Abigail M. StarkEsther S. TungKristen L. BatejanPeg Worden,2024,https://link.springer.com/chapter/10.1007/978-3-031-74838-7_11,Chapter
Classes and Objects,PHP by Example,,,,10.1007/979-8-8688-0258-4_7,Alex Vasilev,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0258-4_7,Chapter
Web-Based Food Recommendation,Python for Business Analytics,,,,10.1007/978-981-96-8291-1_13,Mahadi Hasan MirazNarishah Mohamed SallehHwang Ha Jin,2025,https://link.springer.com/chapter/10.1007/978-981-96-8291-1_13,Chapter
Enterprise Patterns,"PHP 8 Objects, Patterns, and Practice: Volume 1",,,,10.1007/979-8-8688-0482-3_12,Matt Zandstra,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0482-3_12,Chapter
Developing Comfort Monitoring Prototype Using IoT and&#xa0;Cloud Computing,Computer Information Systems and Industrial Management,,,,10.1007/978-3-031-71115-2_8,Mauricio BarriosAdriana IglesiasFernando MendezMiguel JimenoDaladier JabbaNadim TellezYamid Hernandez,2024,https://link.springer.com/chapter/10.1007/978-3-031-71115-2_8,Conference paper
Viruses for Systemic Delivery,Vectorology for Optogenetics and Chemogenetics,,,,10.1007/978-1-0716-2918-5_7,Zikai WangAlon GreenbaumJennifer B. Treweek,2023,https://link.springer.com/chapter/10.1007/978-1-0716-2918-5_7,Protocol
Training Computational Thinking to&#xa0;Leverage Citizens of&#xa0;Next Generation,Information Systems and Technologies,,,,10.1007/978-3-031-45645-9_46,Cristiana AraújoPedro Rangel HenriquesJoão José Cerqueira,2024,https://link.springer.com/chapter/10.1007/978-3-031-45645-9_46,Conference paper
