Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Security Standards and Best Practices,Building Secure PHP Applications,,,,10.1007/979-8-8688-0932-3_5,Satej Kumar Sahu,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0932-3_5,Chapter
A Basic Symfony Application,PHP 8 Basics,,,,10.1007/978-1-4842-8082-9_16,Gunnard EngebrethSatej Kumar Sahu,2023,https://link.springer.com/chapter/10.1007/978-1-4842-8082-9_16,Chapter
Building RESTful APIs with ASP.NET Core (C#),Mastering REST APIs,,,,10.1007/979-8-8688-0309-3_6,Sivaraj Selvaraj,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0309-3_6,Chapter
Database Management and Eloquent ORM,Building Real-Time Marvels with Laravel,,,,10.1007/978-1-4842-9789-6_3,Sivaraj Selvaraj,2024,https://link.springer.com/chapter/10.1007/978-1-4842-9789-6_3,Chapter
A Self-learning Ai-Based Information Leak Protection System,Advances in Artificial Intelligence and Machine Learning in Big Data Processing,,,,10.1007/978-3-031-73065-8_6,M. JaeyalakshmiP. Rohit GangadharM. SrivatsanM. Bhavani,2025,https://link.springer.com/chapter/10.1007/978-3-031-73065-8_6,Conference paper
From Monolith to Microservices Architecture: Smooth and Agile Migration of Large-Scale Critical System,International Conference on Advanced Intelligent Systems for Sustainable Developent (AI2SD 2024),,,,10.1007/978-3-031-91337-2_77,Hicham BaidouriHatim HafiddiMahmoud Nassar,2025,https://link.springer.com/chapter/10.1007/978-3-031-91337-2_77,Conference paper
Laravel for API Development,API Development with Laravel,,,,10.1007/979-8-8688-1576-8_3,Adegoke Akintoye,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1576-8_3,Chapter
Working with Relational Data on Azure,Azure Data Fundamentals Certification Companion,,,,10.1007/979-8-8688-1684-0_3,Naveen Kumar M,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1684-0_3,Chapter
Advanced DevOps and Infrastructure Automation,Building Real-Time Marvels with Laravel,,,,10.1007/978-1-4842-9789-6_24,Sivaraj Selvaraj,2024,https://link.springer.com/chapter/10.1007/978-1-4842-9789-6_24,Chapter
TEE-Receipt: A TEE-Based Non-repudiation Framework for&#xa0;Web Applications,Security and Privacy in Communication Networks,,,,10.1007/978-3-031-94448-2_12,Mahmoud HofnyLianying ZhaoMohammad MannanAmr Youssef,2026,https://link.springer.com/chapter/10.1007/978-3-031-94448-2_12,Conference paper
Understanding Your&#xa0;Server,Hacking MySQL,,,,10.1007/979-8-8688-0980-4_6,Lukas Vileikis,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0980-4_6,Chapter
