Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
PHP Core Security,Building Secure PHP Applications,,,,10.1007/979-8-8688-0932-3_2,Satej Kumar Sahu,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0932-3_2,Chapter
Classes and Objects,PHP by Example,,,,10.1007/979-8-8688-0258-4_7,Alex Vasilev,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0258-4_7,Chapter
Data and Data Types,PHP 8 Basics,,,,10.1007/978-1-4842-8082-9_4,Gunnard EngebrethSatej Kumar Sahu,2023,https://link.springer.com/chapter/10.1007/978-1-4842-8082-9_4,Chapter
Testing with PHPUnit,"PHP 8 Objects, Patterns, and Practice: Volume 2",,,,10.1007/979-8-8688-0779-4_7,Matt Zandstra,2025,https://link.springer.com/chapter/10.1007/979-8-8688-0779-4_7,Chapter
Pages That Remember: Simple Login and Multipage Forms,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_11,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_11,Chapter
Variables and Data Types,PHP by Example,,,,10.1007/979-8-8688-0258-4_2,Alex Vasilev,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0258-4_2,Chapter
Code Auditing,Handbook for CTFers,,,,10.1007/978-981-19-0336-6_10,,2022,https://link.springer.com/chapter/10.1007/978-981-19-0336-6_10,Chapter
String,PHP 8 Quick Scripting Reference,,,,10.1007/978-1-4842-6619-9_4,Mikael Olsson,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6619-9_4,Chapter
Basic Blog: Images and Authentication,PHP 8 for Absolute Beginners,,,,10.1007/978-1-4842-8205-2_9,Jason LengstorfThomas Blom HansenSteve Prettyman,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8205-2_9,Chapter
Advanced Web,Handbook for CTFers,,,,10.1007/978-981-19-0336-6_2,,2022,https://link.springer.com/chapter/10.1007/978-981-19-0336-6_2,Chapter
PHP,Cyber Operations,,,,10.1007/978-1-4842-4294-0_20,Mike O’Leary,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4294-0_20,Chapter
Server-Side Programming with PHP,Web-Based Projects that Rock the Class,,,,10.1007/978-1-4842-4463-0_2,Christos Karayiannis,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4463-0_2,Chapter
"DTOs, Entities, and Value Objects",Domain-Driven Laravel,,,,10.1007/978-1-4842-6023-4_12,Jesse Griffin,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6023-4_12,Chapter
Running Online Services Using PHP Sockets,Web-Based Projects that Rock the Class,,,,10.1007/978-1-4842-4463-0_10,Christos Karayiannis,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4463-0_10,Chapter
Testing with PHPUnit,"PHP 8 Objects, Patterns, and Practice",,,,10.1007/978-1-4842-6791-2_18,Matt Zandstra,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6791-2_18,Chapter
Modular Programming,Learn PHP 8,,,,10.1007/978-1-4842-6240-5_4,Steve Prettyman,2020,https://link.springer.com/chapter/10.1007/978-1-4842-6240-5_4,Chapter
Authentication,Learn PHP 8,,,,10.1007/978-1-4842-6240-5_8,Steve Prettyman,2020,https://link.springer.com/chapter/10.1007/978-1-4842-6240-5_8,Chapter
Secured User Interfaces,Learn PHP 8,,,,10.1007/978-1-4842-6240-5_5,Steve Prettyman,2020,https://link.springer.com/chapter/10.1007/978-1-4842-6240-5_5,Chapter
Building a Validator,Pro PHP 8 MVC,,,,10.1007/978-1-4842-6957-2_5,Christopher Pitt,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6957-2_5,Chapter
Handling and Logging Exceptions,Learn PHP 8,,,,10.1007/978-1-4842-6240-5_6,Steve Prettyman,2020,https://link.springer.com/chapter/10.1007/978-1-4842-6240-5_6,Chapter
Data Objects,Learn PHP 8,,,,10.1007/978-1-4842-6240-5_7,Steve Prettyman,2020,https://link.springer.com/chapter/10.1007/978-1-4842-6240-5_7,Chapter
Pages That Remember: Simple Login and Multipage Forms,PHP 7 Solutions,,,,10.1007/978-1-4842-4338-1_11,David Powers,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4338-1_11,Chapter
Multifunctional Interfaces,Learn PHP 8,,,,10.1007/978-1-4842-6240-5_9,Steve Prettyman,2020,https://link.springer.com/chapter/10.1007/978-1-4842-6240-5_9,Chapter
PHP Graphics,Programming in HTML and PHP,,,,10.1007/978-3-319-56973-4_9,David R. Brooks,2017,https://link.springer.com/chapter/10.1007/978-3-319-56973-4_9,Chapter
Strings and Regular Expressions,Beginning PHP and MySQL,,,,10.1007/978-1-4302-6044-8_9,Frank M. Kromann,2018,https://link.springer.com/chapter/10.1007/978-1-4302-6044-8_9,Chapter
Add the Finishing Touches: Security and Validation,"Practical PHP 7, MySQL 8, and MariaDB Website Databases",,,,10.1007/978-1-4842-3843-1_6,Adrian W. WestSteve Prettyman,2018,https://link.springer.com/chapter/10.1007/978-1-4842-3843-1_6,Chapter
TCP/IP and Network Programming,Systems Programming in Unix/Linux,,,,10.1007/978-3-319-92429-8_13,K. C. Wang,2018,https://link.springer.com/chapter/10.1007/978-3-319-92429-8_13,Chapter
Create a Product Catalog,"Practical PHP 7, MySQL 8, and MariaDB Website Databases",,,,10.1007/978-1-4842-3843-1_8,Adrian W. WestSteve Prettyman,2018,https://link.springer.com/chapter/10.1007/978-1-4842-3843-1_8,Chapter
Processing Big Data with Functional PHP,Pro Functional PHP Programming,,,,10.1007/978-1-4842-2958-3_9,Rob Aley,2017,https://link.springer.com/chapter/10.1007/978-1-4842-2958-3_9,Chapter
MySQL Database System,Systems Programming in Unix/Linux,,,,10.1007/978-3-319-92429-8_14,K. C. Wang,2018,https://link.springer.com/chapter/10.1007/978-3-319-92429-8_14,Chapter
Migrate to a Host and Back Up Your Website Database,"Practical PHP 7, MySQL 8, and MariaDB Website Databases",,,,10.1007/978-1-4842-3843-1_7,Adrian W. WestSteve Prettyman,2018,https://link.springer.com/chapter/10.1007/978-1-4842-3843-1_7,Chapter
E-commerce: A Brief Introduction,"Practical PHP 7, MySQL 8, and MariaDB Website Databases",,,,10.1007/978-1-4842-3843-1_11,Adrian W. WestSteve Prettyman,2018,https://link.springer.com/chapter/10.1007/978-1-4842-3843-1_11,Chapter
Create a Message Board,"Practical PHP 7, MySQL 8, and MariaDB Website Databases",,,,10.1007/978-1-4842-3843-1_10,Adrian W. WestSteve Prettyman,2018,https://link.springer.com/chapter/10.1007/978-1-4842-3843-1_10,Chapter
Firmware Reverse Engineering and Exploitation,The IoT Hacker's Handbook,,,,10.1007/978-1-4842-4300-8_7,Aditya Gupta,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4300-8_7,Chapter
