Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Email and Form Processing,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_3,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_3,Chapter
Functions,PHP by Example,,,,10.1007/979-8-8688-0258-4_5,Alex Vasilev,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0258-4_5,Chapter
Data and Data Types,PHP 8 Basics,,,,10.1007/978-1-4842-8082-9_4,Gunnard EngebrethSatej Kumar Sahu,2023,https://link.springer.com/chapter/10.1007/978-1-4842-8082-9_4,Chapter
Error Handling,PHP by Example,,,,10.1007/979-8-8688-0258-4_10,Alex Vasilev,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0258-4_10,Chapter
The Control Statements,PHP by Example,,,,10.1007/979-8-8688-0258-4_3,Alex Vasilev,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0258-4_3,Chapter
Variables and Data Types,PHP by Example,,,,10.1007/979-8-8688-0258-4_2,Alex Vasilev,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0258-4_2,Chapter
Pages That Remember: Simple Login and Multipage Forms,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_11,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_11,Chapter
Managing Data,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_9,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_9,Chapter
Uploading Data and Files,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_4,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_4,Chapter
Useful Tricks and Operations,PHP by Example,,,,10.1007/979-8-8688-0258-4_6,Alex Vasilev,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0258-4_6,Chapter
A Content Management System,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_12,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_12,Chapter
Planning the Deployment,Pro SQL Server 2022 Administration,,,,10.1007/978-1-4842-8864-1_1,Peter A. Carter,2023,https://link.springer.com/chapter/10.1007/978-1-4842-8864-1_1,Chapter
Generators and Iterators,PHP by Example,,,,10.1007/979-8-8688-0258-4_11,Alex Vasilev,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0258-4_11,Chapter
Sessions and Logging In,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_10,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_10,Chapter
Appendix 2: Resources and General Reference Material,High-Speed Monohull and Hydrofoil Craft,,,,10.1007/978-3-031-62760-6_14,Zu-Shun DongLiang YunRaju DatlaAlan Bliault,2025,https://link.springer.com/chapter/10.1007/978-3-031-62760-6_14,Chapter
Code Auditing,Handbook for CTFers,,,,10.1007/978-981-19-0336-6_10,,2022,https://link.springer.com/chapter/10.1007/978-981-19-0336-6_10,Chapter
Image Captcha Blended with OTP for Secured Authentication,Intelligent Computing and Optimization,,,,10.1007/978-3-031-73318-5_20,B. Bazeer AhamedMurugan Krishnamoorthy,2024,https://link.springer.com/chapter/10.1007/978-3-031-73318-5_20,Conference paper
GUI Customization and Settings,Mastering UltraEdit,,,,10.1007/979-8-8688-1160-9_4,Devid Espenschied,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1160-9_4,Chapter
Speculative SAT Modulo SAT,Tools and Algorithms for the Construction and Analysis of Systems,,,,10.1007/978-3-031-57246-3_4,V. K. Hari GovindIsabel Garcia-ContrerasSharon ShohamArie Gurfinkel,2024,https://link.springer.com/chapter/10.1007/978-3-031-57246-3_4,Conference paper
