Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
PHP Core Security,Building Secure PHP Applications,,,,10.1007/979-8-8688-0932-3_2,Satej Kumar Sahu,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0932-3_2,Chapter
"Making (Only) the&#xa0;Right Calls: Preventing Remote Code Execution Attacks in&#xa0;PHP Applications with&#xa0;Contextual, State-Sensitive System Call Filtering","Detection of Intrusions and Malware, and Vulnerability Assessment",,,,10.1007/978-3-031-97620-9_3,Yunsen LeiCraig A. Shue,2025,https://link.springer.com/chapter/10.1007/978-3-031-97620-9_3,Conference paper
Using Semgrep OSS to&#xa0;Find OWASP Top 10 Weaknesses in&#xa0;PHP Applications: A Case Study,"Detection of Intrusions and Malware, and Vulnerability Assessment",,,,10.1007/978-3-031-64171-8_4,Lukas KreeRené HelmkeEugen Winter,2024,https://link.springer.com/chapter/10.1007/978-3-031-64171-8_4,Conference paper
PHP,Tweak Your Mac Terminal,,,,10.1007/978-1-4842-6171-2_6,Daniel Platt,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6171-2_6,Chapter
Classes and Objects,PHP by Example,,,,10.1007/979-8-8688-0258-4_7,Alex Vasilev,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0258-4_7,Chapter
Arrays,PHP by Example,,,,10.1007/979-8-8688-0258-4_4,Alex Vasilev,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0258-4_4,Chapter
Data and Data Types,PHP 8 Basics,,,,10.1007/978-1-4842-8082-9_4,Gunnard EngebrethSatej Kumar Sahu,2023,https://link.springer.com/chapter/10.1007/978-1-4842-8082-9_4,Chapter
"Functions, Classes, and Traits",PHP 8 Basics,,,,10.1007/978-1-4842-8082-9_3,Gunnard EngebrethSatej Kumar Sahu,2023,https://link.springer.com/chapter/10.1007/978-1-4842-8082-9_3,Chapter
Arrays,PHP 8 Basics,,,,10.1007/978-1-4842-8082-9_6,Gunnard EngebrethSatej Kumar Sahu,2023,https://link.springer.com/chapter/10.1007/978-1-4842-8082-9_6,Chapter
Pages That Remember: Simple Login and Multipage Forms,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_11,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_11,Chapter
Advanced Features,"PHP 8 Objects, Patterns, and Practice: Volume 1",,,,10.1007/979-8-8688-0482-3_4,Matt Zandstra,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0482-3_4,Chapter
Working with Arrays,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_8,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_8,Chapter
Useful Tricks and Operations,PHP by Example,,,,10.1007/979-8-8688-0258-4_6,Alex Vasilev,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0258-4_6,Chapter
Variables and Data Types,PHP by Example,,,,10.1007/979-8-8688-0258-4_2,Alex Vasilev,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0258-4_2,Chapter
Variable Testing,PHP 8 Quick Scripting Reference,,,,10.1007/978-1-4842-6619-9_20,Mikael Olsson,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6619-9_20,Chapter
Overloading,PHP 8 Quick Scripting Reference,,,,10.1007/978-1-4842-6619-9_21,Mikael Olsson,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6619-9_21,Chapter
Type Conversions,PHP 8 Quick Scripting Reference,,,,10.1007/978-1-4842-6619-9_19,Mikael Olsson,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6619-9_19,Chapter
Code Auditing,Handbook for CTFers,,,,10.1007/978-981-19-0336-6_10,,2022,https://link.springer.com/chapter/10.1007/978-981-19-0336-6_10,Chapter
Generating Objects,"PHP 8 Objects, Patterns, and Practice: Volume 1",,,,10.1007/979-8-8688-0482-3_9,Matt Zandstra,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0482-3_9,Chapter
Magic Methods,PHP 8 Quick Scripting Reference,,,,10.1007/978-1-4842-6619-9_22,Mikael Olsson,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6619-9_22,Chapter
Database Patterns,"PHP 8 Objects, Patterns, and Practice: Volume 1",,,,10.1007/979-8-8688-0482-3_13,Matt Zandstra,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0482-3_13,Chapter
